delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,state
-5,0,0,0,0,0,0,0,-5,1,0,0,0,0,0,0,easy
0,5,0,0,0,0,0,0,-4,-4,0,0,0,0,0,0,easy
-5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,easy
-2,2,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,difficult
-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,difficult
3,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,easy
0,-3,0,0,0,0,0,0,-4,-3,0,0,0,0,0,0,difficult
4,2,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,difficult
5,1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,easy
1,5,1,0,0,0,0,0,0,-5,0,0,0,0,0,0,difficult
1,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,easy
1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,difficult
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,easy
-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,easy
-7,-2,0,0,0,0,0,0,-9,-2,0,0,0,0,0,0,easy
-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,easy
-1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,difficult
-1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,easy
2,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,difficult
1,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,difficult
-2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,easy
1,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,difficult
-1,3,0,1,0,0,0,0,0,-3,0,0,0,0,0,0,easy
0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,difficult
0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,difficult
-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,difficult
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,difficult
1,0,0,0,0,1,0,0,-5,-1,0,0,0,0,0,0,difficult
2,1,0,0,0,1,1,0,-3,0,0,0,0,0,0,0,easy
2,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,difficult
2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,difficult
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
5,1,0,0,0,0,0,0,-5,-1,0,0,0,0,0,0,easy
5,2,0,1,0,0,1,0,4,0,0,0,0,0,0,0,difficult
0,1,0,0,0,0,0,0,5,-1,0,0,0,0,0,0,easy
1,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,easy
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,difficult
0,0,0,0,0,0,0,0,-7,-2,0,0,0,0,0,0,difficult
-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,easy
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,easy
4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,difficult
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
5,1,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,difficult
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,easy
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,difficult
4,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,difficult
-1,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,easy
-4,-1,0,0,0,0,0,0,-4,-1,0,0,0,0,0,0,easy
-3,-2,0,0,0,0,0,0,4,-2,0,0,0,0,0,0,difficult
1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,easy
1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,easy
3,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,easy
1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,easy
0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,difficult
-3,-1,0,0,0,0,0,0,-4,-1,0,0,0,0,0,0,easy
-1,-3,0,0,0,0,0,0,-1,-3,1,0,0,0,0,0,difficult
1,0,0,1,0,0,0,0,-3,-1,0,0,0,0,0,0,easy
1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,easy
3,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,0,difficult
-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,difficult
