delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
397203,82848,28604,15002,11579,50092,39345,33412,166851,40488,7012,3069,8566,15844,14109,7421,0
26305,33355,12115,27022,20027,36294,19569,6486,4991,6281,1794,11994,5395,7483,7873,4284,0
619207,39206,21814,19396,30370,46440,18226,30918,9091,12142,12361,10313,19395,43346,13950,27536,0
1303048,220670,39269,31109,9180,15660,44774,16537,257029,9976,14195,4716,8298,10096,12400,8615,1
448257,187993,19655,21289,8652,64822,74301,35183,68996,42401,6855,11120,3872,14113,10146,10115,1
162474,30103,36475,38897,41332,27581,50224,10195,8730,21107,5635,2394,2148,17702,7810,9134,0
1695552,242673,106472,16995,27376,29430,69557,26425,854049,88834,11752,11068,13886,26291,24095,20191,1
671158,45816,3533,10769,9443,35711,16683,12395,228505,17768,3246,7147,5887,6159,6554,5757,1
2096036,446773,30352,18826,57700,121176,63529,49116,2058093,439382,19753,7507,25978,74984,43133,24700,0
100340,369545,39891,29596,37710,36342,22644,15056,23559,18231,9488,10538,27651,15817,14123,9921,1
1279363,47003,41052,83484,13893,40619,26208,12480,149039,41327,6936,4234,1190,3521,3392,1616,0
2877453,539508,276150,114230,107468,145116,111946,75754,2274756,178984,163763,27011,29249,119194,98893,56060,1
993501,84363,84107,50841,32010,114290,29256,37006,6666,8887,50910,11246,28539,31877,19487,21615,0
553985,929054,70038,35794,48137,86371,40620,26600,3013,10115,3795,26207,32312,29606,36854,21765,0
326757,20456,3853,7971,14380,9910,11484,7575,79321,4434,2297,5015,4878,7196,3279,1353,0
1359074,370847,106518,73661,52359,93404,69212,81303,1090811,89787,40776,6417,38693,47706,36085,27323,0
7853,15127,5735,14217,28254,34697,38941,13634,2002,12433,4591,13184,11440,24444,15236,12865,1
615453,70895,11729,7987,9025,19215,11963,7047,162582,5551,873,811,2167,2845,1646,1045,0
2442935,601102,14761,30706,29861,50877,79803,88294,184516,127508,11535,6985,11003,7655,16781,12487,1
628030,12711,9829,8652,8366,19311,4956,7943,63817,9318,3693,7413,2931,5797,3898,1926,1
497478,16215,15643,4700,7970,12661,8863,5509,313682,4338,3126,3309,7530,6843,4264,1769,0
499948,68904,28068,28136,47694,41155,42050,23447,187081,57082,3369,11761,12206,20756,5545,5189,1
707846,127974,40361,28207,55576,37236,53163,36363,605670,61646,8193,20381,8789,18561,12353,8588,0
587235,199255,24390,22250,16609,28237,20254,14064,492770,73384,12545,8770,9500,20233,16711,5097,1
1171948,110247,28491,28110,21320,34772,24113,19745,128634,55761,14100,8516,8362,17920,15951,6363,1
1001912,49114,6400,11899,6938,23504,24449,7351,43330,43423,2930,4336,1345,7165,17357,671,1
79223,29438,7685,17792,17060,16201,18548,5087,4877,4809,1462,7659,14070,10439,7670,3663,1
190839,168106,37244,34707,77839,53457,63204,26644,4916,32253,7885,4904,4970,42601,54582,14489,1
664295,49208,11620,11504,30648,30423,42021,13946,84691,30473,9563,11424,4203,9852,10496,4371,0
102412,30472,17927,15325,19310,37482,39170,23071,70200,8024,5750,11069,8774,24755,7609,8746,1
107211,91016,24410,21908,26125,31665,33262,38990,7239,7896,6544,12018,13638,29079,32731,32502,1
