delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
279623,281433,121382,22862,54474,57822,29081,36883,79931,37562,6651,5173,780,4215,2530,1825,0
1784406,1525301,27872,113190,47757,52613,50621,64872,63570,9209,1743,5718,4093,6154,9937,3226,0
2108310,302639,212254,82402,60501,190857,105259,57293,453985,171043,22299,21104,30809,48255,13474,8978,0
1003180,742810,119369,24837,10013,70491,62475,37448,6298,4927,1165,3258,2336,6292,11031,8322,1
794706,112182,28466,15370,16561,20351,12670,10490,119036,42466,2126,3957,2160,3197,3837,1915,1
1282056,405072,194155,68885,21570,65712,37043,47422,364983,12708,8902,5479,4410,9773,7681,9108,0
1293589,104177,23859,55914,22846,35133,38577,13295,68164,63085,999,5545,7076,3727,3578,5831,1
1458367,561780,62178,61168,32619,128055,169192,44227,128805,22008,5121,5160,1162,5016,3921,1297,1
2134069,349591,102354,31870,43754,77625,124470,120545,81124,45091,1557,1917,3270,14920,3358,4159,0
1317516,1706168,170035,87642,20397,64871,38999,25711,116910,17820,8102,3957,2206,2909,1751,1371,1
1663993,1292544,315067,78663,72248,132322,82378,129020,286962,104958,23797,25736,15487,20552,26190,10903,0
1677578,414678,268209,97656,55016,157673,117029,70237,382587,66217,20415,19279,14572,8738,9953,9009,1
1521903,542967,71840,140096,91465,97199,72660,92489,47602,33090,8298,1702,1950,11372,6903,1989,0
2294070,269643,45412,36211,32713,164231,86897,25657,113977,18837,8319,1659,763,10054,9057,3510,0
3242523,269657,44463,14254,54061,100945,116580,43849,82632,32766,7153,2397,2554,7205,3258,1320,0
2822957,273811,35664,30963,18162,45926,46153,21623,527177,33804,20668,10994,6813,15662,4088,9000,0
1615663,138840,50851,42533,21607,53232,44187,40576,105705,62410,7598,5489,1380,9075,7779,11202,1
1008209,190970,96305,8951,12634,29661,22578,14698,151318,18307,1618,1370,3639,3193,2333,978,0
1114101,601465,148533,66220,83746,162752,65917,66110,543300,79642,22188,13762,20962,23686,16446,4974,1
1088618,392634,24267,21047,26068,140008,59207,28601,114095,15587,1215,2138,5106,6881,4756,2606,1
2241701,725591,70392,39333,65045,96777,76410,60932,703670,48467,7188,12056,6093,31285,8770,8549,0
1074987,155582,36793,22163,24776,22995,35279,12639,131421,41657,1365,2647,2807,4001,4073,3439,1
1820337,1012263,166326,164213,113201,63039,52803,42176,317024,34385,1375,5836,10997,7100,13558,8337,0
