delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
279623,212071,121382,9552,28665,57822,29081,36883,187307,37562,6651,5173,780,4215,2530,1825,0
1784406,1525301,27872,113190,47757,52613,50621,64872,1197209,115785,1743,5718,4093,19751,13146,12688,0
2108310,302639,212254,82402,60501,190857,105259,57293,453985,171043,22299,21104,30809,48255,13474,8978,0
1003180,742810,119369,24837,10013,70491,62475,37448,6298,4927,4063,9376,8630,6292,12163,8377,1
794706,112182,28466,15370,16561,20351,12670,10490,119036,42466,7334,3957,6303,3197,3837,4428,1
1282056,405072,194155,68885,21570,65712,37043,47422,952271,12708,8902,5990,4410,19481,7681,10898,0
1293589,104177,23859,55914,22846,35133,38577,13295,68164,80714,4319,11917,9175,12264,13824,9992,1
1458367,561780,62178,61168,32619,128055,169192,44227,1109615,67430,23642,5786,11897,24252,19779,11208,1
2134069,349591,102354,31870,43754,77625,124470,120545,81124,45091,1557,1917,3270,14920,3358,4159,0
1317516,1706168,170035,87642,17504,64871,38999,25711,625769,17820,8102,3957,2206,2909,1751,1371,1
1663993,1292544,315067,78663,72248,132322,82378,129020,524044,159945,34923,47062,15487,20552,27952,14054,0
839133,203800,268209,57176,55016,48734,51832,40056,382587,66217,20415,19279,14572,8738,9953,9009,1
998349,542967,71840,140096,35313,97199,49038,92489,47602,33090,8298,1702,1950,11372,6903,1989,0
2294070,269643,10570,36211,32713,164231,86897,25657,113977,18837,8319,1659,763,12530,9057,3510,0
1803354,131504,44463,6641,24546,15295,25386,17956,82632,32766,7153,2397,2554,7205,3258,1320,0
660862,273811,35664,30963,18162,45926,19977,21623,527177,62101,23739,22899,13401,20143,4088,9035,0
1615663,138840,50851,31127,16510,53232,44187,40576,105705,75422,7598,5489,1380,9075,7779,11202,1
1008209,190970,96305,8951,12634,29661,22578,14698,176685,56881,6600,4259,3639,5865,2333,4189,0
1114101,601465,148533,66220,47781,162752,65917,66110,543300,79642,22188,13762,20962,23686,16446,4974,1
1088618,392634,24267,21047,26068,140008,59207,28601,114095,86883,13134,4038,5992,6881,4756,2606,1
1593224,725591,61820,38148,44755,81080,75355,60932,703670,48467,7188,12056,6093,31285,8770,8549,0
990266,155582,36793,22163,24776,22995,7881,6941,131421,58991,1365,2647,2807,4001,4073,3439,1
875883,1012263,17184,164213,37060,63039,52803,42176,317024,34385,1375,5836,10997,7100,13558,8337,0
727868,383433,49306,72173,37264,33905,50269,34567,428554,149763,24571,5684,11264,23071,23929,9550,1
2010144,135230,174813,108190,27067,58943,92361,23954,1394249,125912,20774,13246,12560,14049,17155,8267,1
1676518,424569,150730,93126,43094,83202,58034,65777,1219530,50577,32415,4995,7532,12327,8472,11549,1
244414,30596,12322,33716,53520,33560,18831,13945,5728,3893,6626,11648,2961,10669,10193,3396,1
2469685,474237,36485,73170,51059,160594,103242,64420,1076836,30085,17146,11922,19501,12239,19252,6608,1
1345709,280458,30517,12482,15263,172024,223182,40234,50643,65363,7149,2012,1376,4710,1909,1572,0
1633334,576448,77099,124299,56650,104542,115855,42313,697753,249214,7740,30119,22840,61090,35090,20267,1
951488,224874,21028,26549,21290,62550,48037,19636,125229,88352,1685,6919,9843,18122,5619,7212,1
798615,72482,37131,15040,13167,20140,23842,13504,384105,42850,4720,3982,2835,7768,17176,4990,0
1706517,387595,82294,50924,58136,34502,31513,17791,67492,15089,2657,668,1639,3588,2016,1520,0
1754080,549450,154490,182795,43958,84831,222314,89549,361162,95412,5322,13363,2493,22111,8902,9798,1
1187722,466282,46875,68402,36557,83221,36540,28966,360518,52806,19407,4255,3937,11855,7723,6729,0
2855119,184055,48654,32122,19270,37954,66340,9977,119599,93962,17279,12594,13706,7621,5112,8850,0
1576177,259827,58567,45576,35160,44627,29160,31556,520166,30529,6203,564,5732,8504,5688,5802,1
2317883,664392,136452,95374,53563,103274,130928,128016,531815,58220,7138,7459,5158,24280,7025,17779,1
615766,83603,18150,21443,26985,30375,16674,13860,389903,23514,2925,4081,7816,4909,8173,4106,0
570536,151284,9680,38269,11364,20489,17650,16254,351520,58480,6484,8666,6057,15433,6456,9788,0
1232644,700420,49817,62579,35160,80262,73947,38457,865501,34769,10423,4263,5207,5969,1739,1901,1
541071,236615,70747,70105,24408,31631,29271,18432,205109,13468,3599,2848,1218,4472,3234,2107,0
1692107,213399,15642,16808,30206,33583,27945,25393,43090,22410,7404,12985,7863,5228,5626,3002,1
1002794,153630,17973,32549,24816,18895,39550,15723,316306,26522,9546,5705,1771,8259,8182,1998,0
346729,191870,87166,31515,29311,47665,44275,14966,298197,24281,4943,3357,2761,2127,1493,841,1
1398580,582886,51524,65047,36791,96112,60427,44959,610004,43803,11711,16441,17069,12669,13674,6579,1
858571,137161,6850,15127,11296,17397,22917,11132,586423,15643,4463,1109,2995,10829,7131,2459,0
1186306,104544,5286,20890,15908,20822,21670,9969,162716,24945,4236,2300,2666,4747,3716,2628,0
1225580,158840,148297,18039,6726,48723,55419,53078,1443,6360,3933,4161,2348,5596,1992,2259,1
608614,155774,20604,14069,40520,39648,61643,16349,110606,24946,4034,3332,4730,8578,9612,9451,0
1266345,124447,28398,16702,26695,80210,48592,31292,672979,87008,2358,3683,7507,20202,8385,5901,0
1627457,140970,26062,18240,12868,42060,25015,12852,244350,24851,8962,8026,5526,7235,10671,5865,0
772777,377108,22945,104349,34133,56457,37861,29506,180905,63913,3546,3429,10971,18389,29837,5783,0
1870505,169980,20792,24573,40216,85348,39078,27508,294393,11092,7973,7678,18977,20249,24781,8766,1
688507,41785,34704,18307,21652,56020,56224,19814,522160,21515,3741,18037,18516,34839,47441,16968,0
1713407,311551,312474,39001,45975,58703,45568,54911,858703,97724,42165,3758,23233,12240,38631,18063,1
1695007,221294,43549,278967,107762,31378,43835,35059,301152,47322,34474,41055,28527,22290,31580,26709,0
937294,117921,99107,72632,74578,64168,72674,59394,368126,76311,8736,16800,32718,23821,45776,11013,0
1558514,237026,64762,96573,37314,66659,105868,45244,190810,89840,8563,13270,10862,24569,18803,4360,1
436933,249068,14356,12535,17033,24932,33536,7974,153876,62170,3498,8738,4732,7927,7096,3898,1
1754671,268563,101155,26690,29505,46291,28195,22732,992647,46554,61180,18141,9454,24207,14182,10845,1
237407,101756,15065,14582,14381,16804,36640,18103,5648,12925,1420,810,2640,7582,2949,3690,0
58916,115266,20699,11770,15806,36443,66758,31029,52032,20919,6741,1748,6525,8116,13670,5635,0
1545763,430844,29342,28345,47235,36755,44496,18438,65679,32346,17539,9724,3076,2006,2557,1680,1
