delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
276336,39587,7200,3578,4835,6267,5713,1951,-220114,-18504,40634,68499,14513,40880,5876,11001,-253323,-29279,15898,18656,30976,10266,-1480,2907,-261402,-3862,23729,50392,27048,18849,5489,8331,-265855,-35046,49197,34249,34668,14811,2331,3727,-208212,-14542,26379,13594,11544,17084,973,12896,-33209,-8079,-4453,57643,-10775,25417,-31184,20504,-24736,7831,25468,-22818,-49843,31736,-16143,-20655,16463,-3928,7620,-23124,-30614,8583,-4038,2273,-7356,6969,-3158,-1358,-8094,5424,-4604,9169,easy
463840,60321,19100,10494,10357,25964,29774,13223,-434244,-52084,9938,-1286,4782,15538,-11024,4855,-462394,-55015,-17514,-8030,-7912,-16697,-26062,-6897,327158,74257,-7701,-18,7886,-8481,-4316,-6180,-457309,-55554,-16912,-8387,-5159,-19050,-25398,-9041,-455326,-45108,-10033,-578,-3811,11936,-16405,-3159,-28150,789552,-784467,1983,-2931,129272,-129811,10446,-27452,9813,-9211,6879,-6744,8012,-8369,7809,-12694,15798,-13045,1348,-32235,8216,-10569,30986,-15038,21746,-21082,8993,-11752,717,-2861,5882,difficult
157644,14748,9337,8915,8149,16259,12578,9924,59887,10975,9258,7579,4275,10719,-3861,-291,-146869,15888,21439,4606,6490,-6168,-7879,-2686,-152536,-19,-6571,-4900,-4799,-7271,-5610,-4851,-65044,29411,-3889,-3764,-1174,-13112,-9621,-8371,-107187,783,7745,-4677,10221,-506,-6073,-1229,-206756,-5667,87492,-42143,4913,-15907,29430,-28628,12181,-28010,2682,11634,-2973,-9506,1136,-913,2215,-11289,3625,11395,-16887,-1103,-5841,12606,-4018,2269,-4011,3548,-2395,-2165,-3520,7142,easy
374372,70071,17764,12198,16825,31576,14793,11694,48790,-36029,-11384,-10306,-12695,1579,-12120,-8202,-262568,-44539,-10387,773,17163,1977,-4259,6904,-372233,-66607,-12237,-11406,-11628,-24080,-11245,-9353,-371420,-56023,-13575,1150,-5604,-20693,-8301,-6652,-298995,-15703,-13576,-1238,-12076,-26296,-9649,-8064,-311358,-109665,813,72425,-8510,-22068,10584,40320,997,-1850,-1338,-1,11079,-12179,12556,-2388,29858,-28791,6024,-6472,398,-26057,3387,-5603,7861,-6986,2944,-1348,15106,-16257,2701,-1412,difficult
245916,33349,5607,2999,10335,34501,16606,9821,239146,-22605,10811,1552,-8178,-25431,-11838,-5556,-103807,-27990,-4215,2419,-10099,-33429,-16065,-9473,-150721,60549,9472,5331,29617,-15227,-1926,-5051,398349,-28215,860,1228,424,-25298,-13020,-8379,-240846,-7796,1813,33772,22266,-16603,-8586,-5318,-342953,-46914,549070,-639195,-5385,88539,-88764,20419,-15026,13687,-8612,953,867,2912,-4103,32544,-1921,39716,-29193,21842,-7998,18202,-10071,8695,-4227,14139,-11094,4434,-3917,4422,-3328,3061,easy
752925,98545,14212,5000,7349,45281,28050,14172,-723471,-72667,-9604,-234,7908,-10462,2054,-5685,-696065,-21396,17210,-93,3892,-15923,-19375,-1327,-741117,-96243,-12765,-3137,-5103,-39612,-25919,-12465,-531611,-79619,-7960,3360,-1034,-22960,-20350,-9168,-701528,-78839,419,-3677,4101,-15331,-20697,-10053,27406,-45052,209506,-169917,51271,-74847,16624,780,26814,-29975,4805,8379,141,-3044,6497,-7037,-4016,-8995,4069,5135,-5461,-23689,16652,7629,-21429,-6544,5569,-347,4358,-11138,3297,-885,difficult
424838,61634,8947,5627,4833,4240,4729,1896,-409458,-53825,-4987,-2770,8501,13425,4577,3682,-408285,-53374,-1389,1293,2318,12240,3119,3211,-414104,-3597,1952,5316,695,6550,3763,4969,-321722,517275,365737,78897,52926,41710,43233,54207,992426,150439,105710,27039,81776,23865,15744,19224,1173,-5819,92382,1314148,451,49777,520872,-366836,3598,3341,363785,-260027,4063,4023,73581,-51858,-6183,-1623,52231,28850,-1185,-5690,35160,-17845,-1458,644,39470,-27489,-471,1758,49238,-34983,easy
52433,14891,7865,6761,10083,13618,18587,10279,425358,40261,-4941,6834,-2387,15126,-5887,-1457,4275,127705,20210,-1992,-4289,5027,-1663,-1826,-43904,7925,-3022,6742,6652,2550,-479,2816,-23319,398,19,-1414,-3387,-2340,-7350,-936,-42906,-5733,40664,5837,-6706,3289,-8862,-441,-421083,-48179,20585,-19587,87444,-119780,-7527,-6131,25151,-23232,3041,40645,-8826,8734,-8156,7251,-1902,10941,-10039,-3319,-10099,-2477,-4890,5629,4224,1184,-6871,-1512,-369,4642,-3752,495,difficult
20281,19045,12213,6725,7399,27759,19615,10385,308206,47788,31537,14723,21109,11977,-13042,15,6701,31856,-8247,-3322,-612,-24851,-17056,-7724,-14947,-12655,-11303,-4194,-3044,-15766,-10710,-6737,-3966,-13014,2707,448,9641,-19113,-8972,-1598,311119,42488,22851,2519,660,-12588,-10611,-2092,-301505,-21648,10981,315085,-15932,-44511,-359,55502,-39784,-3056,14010,20144,-18045,-872,4642,2071,-21721,-2432,12685,-8981,-36828,9085,-3347,6525,-4014,6346,1738,-1639,-7739,987,5139,-494,easy
49795,17578,25462,23583,21603,39867,12232,8797,15330,5336,-9779,29021,-16555,8038,-6929,2038,-32439,-3851,-14874,28814,4544,-13400,-5088,-2620,-47225,-14054,-23963,-17684,-17986,-34317,-9809,-7247,445432,18905,-12272,16496,-834,-25126,-9534,-821,18029,75477,-8966,12889,11898,-20107,-6307,-4332,-47769,-14786,492657,-427403,-9187,-10203,32959,56572,-5095,-9089,11691,3306,-207,-46498,34180,-3607,21099,-22530,17152,12732,-21438,-20917,9191,5019,1841,-4721,275,3227,-4658,-4627,6426,-3511,difficult
