delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
153405,211347,12230,6559,16838,14318,5370,2378,114222,28248,3734,11967,4326,8901,3718,1738,-111218,-16678,7753,-6556,20419,6014,2657,542,189584,382875,9238,-4260,4605,4819,647,738,easy
465251,172429,26051,5301,8228,3840,1842,1125,457815,134582,41193,10336,5638,3098,3048,915,148212,163451,-1324,-3699,7128,2836,326,1010,-133340,-87758,-28960,-6372,-1948,-1353,-2738,-590,difficult
894159,16614,15583,3114,6185,7142,1821,1042,175743,37366,1069,9369,15239,12344,6593,10142,-74325,-21391,9180,-6344,-12124,-9770,-5478,-9108,1511156,-20114,19847,-6166,-5984,-634,-4067,-9093,easy
209105,33768,21585,4596,5298,2423,2020,954,190116,156221,15040,19964,4076,7362,3363,1873,-152550,-110549,-4533,-13632,1838,-5127,-793,-688,190528,-134358,17623,-17104,606,-4752,-1894,-1151,difficult
941949,55315,5683,7824,1323,2134,950,1022,1029774,358094,108196,71225,58816,23135,31033,13466,-681759,-346153,-103794,-70534,-57714,-22541,-30454,-13183,506108,-259406,-101232,-56268,-57272,-19462,-29713,-11705,easy
444643,70182,5436,12468,4587,5316,7798,3236,1193469,457881,95164,31014,16786,19201,7872,4245,-473517,-342686,-88606,-7644,-11288,-9585,7099,865,-1024136,-432712,-90850,-29448,-13111,-18185,-7248,-2883,difficult
40250,11495,5896,8939,6085,3629,1805,1778,22614,20682,12492,21624,12264,7159,3038,3407,-13139,-5511,-2245,-5361,-1905,-2275,-148,-828,48410,-12863,-10948,-20009,-10453,-4786,-2319,-2430,easy
399011,53222,26135,14181,4922,6137,5537,3430,975102,308082,71235,51117,41298,28501,17824,15036,-314512,-224709,-54570,-29915,-37368,-23278,-9950,-9624,-837671,-285011,-35630,-43957,-35385,-21451,-14625,-13589,difficult
897866,55059,25750,16298,8384,4636,5517,1911,836707,569144,54672,38532,23856,11159,8778,10862,330518,-495633,-17684,-26016,-18578,-4673,-688,-8827,-208201,-532538,-40160,-18452,-12366,-8374,-5834,-9075,easy
36561,30375,2429,7077,3234,5718,2049,2893,56375,25439,9825,6170,6302,4171,5073,2211,13382,-7430,-6765,-4804,-4437,-333,-4071,-1197,-53010,17301,-8027,6618,-1699,3427,-1977,2560,difficult
