delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
448905,60492,9644,16955,15697,7814,5791,3732,-426212,-50194,-6895,-15271,-11816,-4510,-4545,-2021,16815,13344,-1423,3968,8927,11188,1420,275,-261091,-31294,-3066,-11471,-11924,-5963,-4317,-2388,-349622,37790,1345,-3359,4233,1420,6082,5199,443027,-277906,-88531,63538,-44638,69084,5472,-1643,4411,19239,-15439,8112,20743,-20851,16157,15698,-17151,7383,5965,-5737,10399,2296,-2663,7587,easy
633213,42608,19787,5318,6232,5381,9551,5297,-442737,142400,-14884,39053,3074,8681,-1127,-3133,-595764,-21995,-13456,-460,268,-321,-5163,-1955,-614500,-26003,-16419,-4885,-5420,-4487,-8548,-4372,-437224,8093,-2009,15174,-541,843,-3333,-3624,-153027,-18736,177276,-164395,-4008,34096,1428,-2963,14410,-39513,-4425,20059,-2806,-5688,4879,-9002,-4166,5330,-4036,-3385,5215,1178,-2417,748,difficult
940611,36566,4071,10839,8781,9912,7860,6522,-200385,352695,52101,20984,21421,31068,-188,1986,954075,26847,99678,10136,1969,17475,1595,-2345,-738815,6627,6256,-5149,-3060,108,-5041,-3905,-156397,423725,52025,34631,8201,28061,827,3262,1154460,-1692890,582418,-325848,-20220,417098,47577,-93422,45769,-10848,-15285,39780,-19452,-5029,11261,-13593,-17367,27953,1783,-6636,5868,-4331,-1560,7167,easy
343860,49435,20138,12151,8100,12512,8896,4703,-62186,110364,-1391,-6858,-1765,-9400,-7446,-3021,-304572,-24514,4736,6490,-1780,-2761,-4402,-1981,282573,-27836,-9404,-6173,-3111,-7614,-7541,-4285,-275412,-18261,-15516,-10132,-5575,-10918,-7922,-3973,-242386,587145,-557985,-134878,-3322,9575,6127,-14140,-6112,13348,-12663,-3959,-15,-1331,-2464,6639,-4853,-3304,3044,-3139,-381,1040,-2304,312,difficult
645659,75581,16284,9400,22450,14872,13597,11775,-508139,-7140,5818,10500,-8537,-6845,-7086,-4006,-595717,25698,38809,1579,-6835,3921,-5740,-2701,-489470,25553,10297,-1874,-16575,-10139,-11286,-9669,-28731,-44966,-10429,-5030,-19144,-12164,-11596,-8873,-87578,106247,460739,32838,-145,-70519,32991,-28512,-20726,-8921,-3453,-3156,1702,-9740,-2569,10766,-14060,-2025,1346,-5546,-310,1305,-6968,796,easy
790927,167656,14946,27796,35083,21738,10281,8336,-661327,-100212,-4865,-19072,-28232,-18342,-7665,-6926,-660182,-81684,33790,-2044,-28401,-6348,102,-1077,-705497,-126588,-11172,-20387,-30411,-13823,-7999,-6494,-748090,-125240,-7313,-24528,-31391,-16813,-8681,-7099,1145,-45315,-42593,18528,-44904,1348,38655,-44962,3859,17028,-18343,-4141,-169,-2010,-980,11994,-7475,-2990,7767,-8101,-682,5849,-5417,-605,difficult
694763,180498,47325,20716,15582,17479,10458,6160,-658799,-158475,-43823,-15712,-14262,-14300,-7718,-3491,-642544,-168162,-42710,-16247,-12468,-15135,-7806,-3254,82540,-96271,-34312,-19599,-13553,-15738,-8012,-4594,-668046,-172919,-45409,-16349,-9060,-15721,-7799,-5109,16255,725084,-750586,-9687,71891,-76648,1113,8398,-11097,-535,-3352,3250,1794,-1085,4493,-835,-603,17,-88,-206,213,237,-1340,-515,easy
76062,42337,2865,2779,4895,3624,2320,1356,-50248,-6409,8774,21721,1527,12256,2517,11466,-60057,-35115,2269,5314,-713,-796,4965,284,185307,-30814,-157,-52,-500,573,801,-406,47958,25804,23911,4093,4611,2270,91,-553,-9809,245364,-137349,-28706,4301,56618,-6505,-2426,24068,-16407,-5366,4145,-2240,213,5111,-13052,1369,1697,2448,-4164,-710,-11182,-690,-147,difficult
430214,72394,29055,16734,21595,13605,15692,7976,-280514,-60800,-26709,-16216,-19624,-12736,-15053,-7626,-348301,-13377,-22632,15083,-14335,-5831,694,-1695,-399492,-16666,-25026,36398,-17410,-1544,-3921,-4912,-180920,-29118,-25396,-14995,-19949,-9749,-12161,-5303,-67787,-51191,218572,47423,-3289,-12452,4077,-2394,-370,31299,21315,-51393,5289,-3075,-2539,6905,4287,-8205,15747,-4615,-8240,5931,-3217,-391,easy
529886,88419,59816,25291,21770,13010,6560,5084,-459217,36200,-51829,-15474,-18589,-10700,-5420,-3524,-368605,-41567,-50080,-16210,-4712,-2337,-4851,-2202,-526851,-75613,-43389,-19857,-7849,-7402,-3883,-3303,-274582,-70152,-54584,-25068,-20392,-11503,-4586,-4432,90612,-158246,252269,-77767,-34046,5461,1749,6691,-11195,-736,-3647,-5211,13877,-3137,-12543,8363,-5065,-4101,569,968,-703,1322,-1101,-1129,difficult
