delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
234044,14895,4771,7100,11071,6897,4985,1991,385383,48716,19231,6919,7979,5915,4309,1559,-122517,-40715,-17155,4539,5507,3082,516,215,-380534,-38972,-17281,-1115,345,-1314,-854,1051,-371231,-24746,-11517,3287,678,182,758,1066,268926,-30850,-11887,-5988,5839,1978,2282,-604,easy
663716,79946,26920,14567,13255,21180,18993,8417,434133,76758,18989,20670,15817,23817,7841,9940,-391493,-61232,-14848,-15311,-13776,-16472,-6367,-5070,472957,40874,18126,5754,5016,-11259,35587,-1685,221225,-22990,12612,-7757,383,19161,12083,156,615641,56099,15835,-7097,-1872,-1979,3304,506,difficult
30344,18403,13199,7767,5440,16784,4586,2247,127674,59678,5223,4073,3653,8440,1979,1751,-109455,-48160,-1300,237,6624,27495,1703,3397,-88907,-26199,31181,16800,1771,13805,8036,545,-121962,-45138,721,-1827,1892,-1508,2003,-704,-68998,-45602,1301,-433,-3140,-6416,-1313,-1256,easy
987856,93791,23378,20533,17542,17038,4961,3049,379839,70437,9265,11165,6163,6342,3084,1837,-150191,-50777,-4112,-5076,-3844,-5212,-2612,-1565,1846298,105842,31314,14226,-342,7539,2602,3587,-321539,-37046,6844,-2,12039,19196,6433,2398,1057501,75396,22406,28325,37662,21260,1085,427,difficult
1556484,146018,77606,41780,20685,15181,3807,4293,523942,121596,23438,18845,36996,20648,9184,4292,639092,15262,20961,15884,-2080,-6927,-6965,-2270,352158,-25753,46585,-1006,-33012,-12235,-7399,-2843,1255810,-63467,102167,-10313,-23754,-10431,-3148,4380,1883108,171647,46957,87176,-6397,7726,-3995,738,easy
34628,25145,8364,9121,4206,7367,3917,1217,62962,14061,17916,6294,7530,5577,1949,1149,-44646,-7312,2514,4514,-1609,14398,7045,1322,-20630,7473,-16090,-4474,-5312,-3539,-384,-447,-48597,6949,-9471,14309,-1709,-757,971,283,535,37226,-15163,-3042,-4666,-2941,238,-886,difficult
344117,36138,9821,6019,6301,2811,1550,999,84563,88560,12590,7207,5608,5090,1872,970,158045,-48405,-7996,-2372,1801,-2106,-281,-43,34106,-75621,-8334,-2059,-4526,-3236,-755,-507,733516,-49189,3374,1433,7356,-1744,603,147,112550,-36475,1879,-1756,-1861,-2031,-854,519,easy
403197,97715,28579,12939,13610,16073,7324,7187,683104,236979,37128,15872,12987,26716,10665,5952,505033,-97556,7365,235,25272,16722,9701,3035,-498842,-159436,-35539,-2526,-9636,-21190,-7702,-1446,-613098,-216561,-34781,-11303,-10487,-25912,-9684,-5265,-512720,-83504,28757,1863,-2658,-12192,-5680,8617,difficult
732365,132591,12683,8581,19736,18666,2402,934,574273,65510,27391,19422,13179,7857,2462,1181,722244,36055,-552,-8012,3097,4397,2327,-348,-51125,-63121,-27188,-16461,-12952,-7464,-2300,-1071,297493,181374,-25880,-16564,29968,35017,61,-356,-336245,114015,-5213,-2326,6115,11286,-330,788,easy
945635,39181,11490,12066,14713,26474,13434,7818,92179,82453,19027,6755,14959,22130,23208,11999,1726116,-26872,-6328,16104,18635,14824,5987,87,-60248,-65297,-12873,-2947,-13950,-19350,-19237,-8952,-86749,-65461,-8219,682,-1701,3855,-13248,-6445,1834703,-15457,-2729,7405,-3969,18048,-12600,-1415,difficult
