delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
116427,21236,14888,9024,7402,12137,7910,3627,827718,130436,61822,33182,16539,11569,6423,5251,-507502,-87620,-52901,-13584,-3929,3944,202,-2190,-816981,-120348,-43295,-32407,-12123,-2692,-2540,-2755,-809390,-119633,-44605,-26482,-11360,453,6799,74,easy
311576,38769,7755,15669,5899,8627,4223,3857,973938,65728,11043,13169,13173,7167,2716,1464,-523154,1863,-4579,28596,-5728,5142,1837,2925,-691310,-55219,-9508,-10914,-7962,-888,-1706,99,-772621,-27520,4222,-10183,-8132,127,4389,4154,difficult
20619,3915,8963,9445,6059,12428,4347,2209,58557,8679,5485,3518,2770,5682,4496,2636,-37134,-6680,-3374,15448,2296,12223,-2543,437,-32280,-169,7750,2418,3575,1299,-1450,-1162,-44399,-7444,6057,-85,3997,6717,3547,-556,easy
384960,41063,12458,5597,6369,4142,1319,2917,56031,21664,11366,14216,4936,18539,11975,5866,204372,-10863,-9516,-11700,-3775,-15922,-11509,-4752,688,26145,11926,-8948,1916,-14155,-9724,-2353,781728,42915,867,-5209,6159,-13115,-10734,-1741,difficult
132059,26924,11958,4861,5384,8784,4044,4078,14185,12668,5522,6270,5844,8568,6358,3622,42178,20795,1425,-259,1749,2293,-650,-92,315377,22901,-2486,-859,-2595,-5953,-3380,-2734,-3933,-929,20370,-3110,-535,4308,-2911,4195,easy
158519,20288,10182,7625,5689,13196,8149,5993,56737,12950,4353,8047,5239,7476,6430,4091,377778,11626,5506,-548,5531,1833,5223,4625,-28990,4639,5093,2499,-1230,12103,1324,-167,-43441,5748,6889,-3217,-2952,3225,-1390,1247,difficult
68904,25240,9857,17804,3960,17460,4271,6451,13122,3042,3509,8048,14198,15024,8696,3868,158403,39532,12060,32549,-6593,6457,-5160,902,2540,11564,3619,3955,-11085,-2488,-2507,4100,6403,15498,3365,-7236,-13037,3340,-5609,2746,easy
203693,62330,39424,10557,11760,11686,3240,4900,669186,22741,21879,12186,8740,12037,17085,7067,-145945,144056,76722,1671,19686,6943,-11423,1703,-659060,-15555,-4211,2817,-5195,91,-14069,-2425,-591474,-9735,-19877,-9374,-5432,-8088,-16042,-5778,difficult
111963,15688,3412,7976,6922,10045,3605,5658,290952,43389,14977,8374,3858,13434,7886,11155,-259645,-32335,-12016,-301,10698,6188,-2595,-3774,-262783,-34389,-13243,3945,-406,-5763,-4041,-2110,-14540,-16378,-9435,-4837,-1100,-10593,-6206,-10608,easy
256159,37354,4652,8888,3750,1632,1701,745,73604,53974,5756,4918,3929,6319,3181,1472,433161,1902,1099,5429,-1621,-4431,-971,-758,107302,-39060,-473,1082,-2693,-5052,-2605,-1213,7203,-12703,-3938,5400,3776,-4579,-864,-211,difficult
