delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,state
448610,38692,5010,3445,347596,145745,47689,22832,-197252,50854,37561,16835,-293259,-21998,-4091,-1569,easy
253484,79815,14668,21481,26227,-36800,-4958,-17718,-205028,-64001,-13434,-19821,-242963,-53792,-4174,-9128,difficult
535024,133996,61860,9571,-532973,-132771,-59366,-4276,-534541,-119877,-59904,-4725,-529575,-121922,-58872,-2158,easy
242742,113509,11501,36475,-231372,-107643,-8870,-27466,-211752,-104875,-9478,-29940,-217438,-87809,-4403,-23370,difficult
421134,90973,54656,44417,-411273,-63091,-49032,-13114,-418018,-79577,-46741,-33251,-333000,-67453,-46742,-41838,easy
56565,12056,5622,7681,-45602,3719,5858,-88,-50002,-6087,1348,2977,-46885,-5297,-3131,-1404,difficult
1421178,267046,61440,23631,-800984,174529,-41690,-8965,-1278327,-246409,-54745,-18749,-1248277,-241656,-52458,-14738,easy
33606,14111,9617,13855,-27224,-8235,-6240,-3322,-21320,-9896,-7908,-10309,-22545,1467,-5772,-9354,difficult
87383,79184,36556,25188,-32906,-55592,-34547,-11021,330370,-7067,77473,-16265,1639156,26293,11406,-10200,easy
179158,80680,19826,11666,-157531,-73388,-14504,-7277,38044,-41019,5209,3890,-156878,-70628,-16806,-8914,difficult
1342023,191155,51156,30188,-713433,-106548,-37836,-22366,253506,-130286,-25400,12031,-354428,-54525,-28536,-14769,easy
159153,16275,12621,13833,-23510,37820,-11635,-13001,-156278,-4236,-6492,-647,314457,-1466,-10712,-7203,difficult
713500,283158,40487,17674,246457,-254893,-30958,-14566,1617669,643974,25782,28791,-654736,-275581,-31815,-16960,easy
159522,27473,11226,5675,311817,9008,-9355,5320,-55572,-4034,-7950,-2330,288503,42323,-9775,11041,difficult
1037241,463178,60842,22404,-984650,-451469,-56261,-21206,-1018320,-454421,-54997,-13743,-927491,-452523,-56326,-20502,easy
109919,32219,22371,14635,-99256,-23831,-14344,2567,-36638,16094,-20106,-11298,-96033,-10170,-21925,-11431,difficult
41238,26904,7669,12577,-18135,-15269,7975,-11526,63740,-4277,-5310,-9857,-9710,-12828,-1577,-9691,easy
7243,11789,13877,9046,-69,-424,-11349,-3078,23973,3164,-10918,1834,1738,-4835,-8846,-1567,difficult
106116,76451,5442,3833,-100054,-52214,949,4126,175960,339950,17811,6225,288073,-23327,583,-449,easy
19203,9844,6489,6198,-16181,-3999,2907,-1522,-10963,-1790,4270,-4061,299230,5337,-4751,8476,difficult
12338,22632,17725,6818,1873,-13406,3234,2617,22068,13109,-12000,3990,-7864,-16008,-13830,1415,easy
320807,48167,23695,8047,-314137,-26753,-2014,10023,-319058,-28569,-19742,-3585,-274095,-28618,-19007,-4034,difficult
449327,69757,47604,35651,-224857,-35099,-44042,-31460,268754,-42162,383,4072,175135,-7631,-19667,-30887,easy
277178,26237,7897,9890,-272194,-18298,-156,-2889,-266981,-24093,-5770,1704,-266903,-20597,-3782,-2910,difficult
1436373,167532,91871,59582,108127,923115,249012,30378,-934662,-91761,-78513,-22428,-1357206,-79114,-75215,-50181,easy
333129,205228,23318,16220,-329602,-201786,-13740,-14005,-320820,-201268,-21879,-4664,-322360,-201144,-21424,-4382,difficult
39556,20743,5754,5135,-35631,-9010,-2072,9583,-35596,-13791,240,-2591,16459,-5016,5389,7089,easy
210732,40354,12275,17491,1484300,205410,895,-7492,495221,126044,24194,-11344,-191340,-36943,-1243,-12290,difficult
540724,82178,25600,16440,-467446,-50952,-22486,-11258,-192969,98601,-2221,-8361,-522733,-76065,-23479,-16135,easy
68180,51216,13284,13437,-46652,-19230,-6178,-4580,38627,68180,175183,339173,1063919,-5236,-7582,285,difficult
39794,8717,11026,6845,-17947,-7160,-8168,3281,-26886,9525,-6731,3884,-33654,17601,-2264,-3883,easy
975013,92424,15235,6819,-426782,-39223,-9306,-2028,-972761,-85381,-8476,-2818,-775351,-78436,-595,-999,difficult
859691,210912,39587,15680,-32861,-59501,-24470,3233,-848857,-196691,-36091,-4671,-849324,-198893,-29622,-13547,easy
136153,15466,6254,5058,657536,123327,13313,-2424,290458,13455,4567,-967,-67153,21075,7567,3664,difficult
