delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
725342,73729,32512,35830,14666,18378,564718,83597,54716,13188,8986,16773,226770,21686,-46116,67735,-669,5501,39673,6105,-33482,4409,9695,8732,850713,-19904,4921,14573,14144,2197,-474662,-47359,-14140,3850,-451,-10010,easy
245712,171128,65439,30787,31067,29934,1014466,134687,53887,16988,24774,12244,-856616,94892,-10787,9971,-4341,19423,-480739,109832,-20221,1120,7276,25612,-737530,14627,72856,21608,14975,11279,-1000133,-73587,4358,22497,7263,14445,difficult
344927,98572,30506,21470,11590,12666,1374613,69613,12792,21867,7649,7256,-697606,35607,-11381,-11503,10700,8838,-1066731,122432,60936,46322,12276,17732,-1032896,20972,33128,-17273,-2512,-303,-1321512,-63176,-11829,-19134,-4701,-4626,easy
190908,26781,21551,18673,15470,20603,97401,32913,14209,21921,10941,5835,-79949,-28287,37605,-8119,7582,18397,446054,29726,-8602,-9223,16966,28129,-43925,-3454,9383,20603,-1899,13201,51849,-22515,-9020,-16252,-4534,-656,difficult
380092,30691,15699,11250,27427,16164,1143853,122181,55837,35092,12341,12908,-910715,-81987,-41090,-26893,-7161,-802,-1124885,-108991,-42998,-31817,16364,8435,103856,-66295,-37814,-14647,30271,3748,-1123300,-108686,-38650,-22012,20868,1643,easy
927860,133876,41851,23134,27955,23955,374276,87796,7365,9291,7904,5074,2127734,123337,13785,23750,25084,17177,6665,52644,92168,5801,18975,36505,-347649,-44230,7343,9196,17201,3184,427587,52570,24647,16626,18942,18657,difficult
351953,31328,12842,9336,8815,7007,1220555,103060,19256,18481,20524,17788,-839077,-30770,-7344,-3744,-2550,-9534,-486701,-79773,-1715,-6562,-9001,-8018,-1037196,-86338,-6726,-17289,-16615,-14513,-1111436,-90047,-9871,-8985,-18669,-11060,easy
120265,22827,6709,8202,9804,9493,296947,66802,16971,21699,7150,8317,9673,-33713,-16573,-19650,-3103,-2912,-254223,-47109,-14691,-18647,-3227,-3790,-263692,-54454,3057,-1857,18201,14273,-198485,-40626,-12840,-13834,-1255,-2868,difficult
408668,169255,29236,43986,45365,32567,739170,164117,73062,39548,72437,61135,68311,344054,2887,83756,41077,15035,-169188,-72959,-56653,-15889,-44279,-38657,-648350,-127025,-65311,-24639,-60586,-47640,-572782,-123520,-56228,-25475,-44500,-43011,easy
382734,53820,22040,18751,12434,22614,295656,49292,7648,2501,7714,6907,-90698,7330,17638,19805,2965,-2196,441357,35447,47085,11727,12548,25176,-173292,-34609,-3542,7612,-1835,-194,170943,9944,-3613,25855,5203,40043,difficult
1177622,277311,27740,16027,28910,16060,809293,102232,14987,13016,16845,15974,-680177,-90166,-14258,-4976,-15087,-12151,1579682,703999,63048,2490,51099,13713,77094,27804,-8837,-4646,-6137,-5366,496717,58677,11058,19177,18383,4147,easy
103992,18337,4684,8574,8726,8803,321700,87947,24397,29906,12661,13853,-285744,-65453,-22677,-23497,-10861,-8543,-309945,-64232,-18889,-19442,2074,-1509,-313777,-75787,-17813,-20117,2102,-909,38634,-72970,-19475,-22271,-9054,-9239,difficult
