delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
385383,48716,19231,6919,7979,5915,4309,1559,-324672,-43512,-16597,-4570,-6879,-4718,-3515,-1138,-122517,-40715,-17155,4539,5507,3082,516,215,-380534,-38972,-17281,-1115,345,-1314,-854,1051,-371231,-24746,-11517,3287,678,182,758,1066,268926,-30850,-11887,-5988,5839,1978,2282,-604,202155,-258017,9303,640157,2797,1743,14226,-6104,-558,-126,5764,-370,9109,-5654,4402,-9275,12386,-5162,333,5161,7800,-4396,1496,1796,4031,-1370,1612,1524,1353,836,15,-1670,easy
434133,76758,18989,20670,15817,23817,7841,9940,-345565,-62051,-13570,-1363,-13370,-20286,-6199,-7418,-391493,-61232,-14848,-15311,-13776,-16472,-6367,-5070,472957,40874,18126,5754,5016,-11259,35587,-1685,221225,-22990,12612,-7757,383,19161,12083,156,615641,56099,15835,-7097,-1872,-1979,3304,506,-45928,864450,-251732,394416,819,102106,-63864,79089,-1278,32974,-5514,3223,-13948,21065,-13511,660,-406,18792,-4633,-2255,3814,5213,30420,-21140,-168,41954,-23504,-8779,2348,3385,1841,350,difficult
127674,59678,5223,4073,3653,8440,1979,1751,-91961,-41165,1657,-2930,2295,-6125,-343,-829,-109455,-48160,-1300,237,6624,27495,1703,3397,-88907,-26199,31181,16800,1771,13805,8036,545,-121962,-45138,721,-1827,1892,-1508,2003,-704,-68998,-45602,1301,-433,-3140,-6416,-1313,-1256,-17494,20548,-33055,52964,-6995,21961,-18939,-464,-2957,32481,-30460,580,3167,16563,-18627,1394,4329,-4853,121,-5032,33620,-13690,-15313,-4908,2046,6333,-6033,-3316,4226,-2852,-1249,-552,easy
379839,70437,9265,11165,6163,6342,3084,1837,1014519,154667,15902,-563,39950,3950,11541,4151,-150191,-50777,-4112,-5076,-3844,-5212,-2612,-1565,1846298,105842,31314,14226,-342,7539,2602,3587,-321539,-37046,6844,-2,12039,19196,6433,2398,1057501,75396,22406,28325,37662,21260,1085,427,-1164710,1996489,-2167837,1379040,-205444,156619,-142888,112442,-20014,35426,-24470,15562,-4513,19302,-14228,28327,-43794,3502,12381,25623,-9162,12751,11657,2064,-14153,5214,3831,-5348,-5716,5152,-1189,-1971,difficult
523942,121596,23438,18845,36996,20648,9184,4292,555499,77142,19225,3096,-5987,-954,-2043,6223,639092,15262,20961,15884,-2080,-6927,-6965,-2270,352158,-25753,46585,-1006,-33012,-12235,-7399,-2843,1255810,-63467,102167,-10313,-23754,-10431,-3148,4380,1883108,171647,46957,87176,-6397,7726,-3995,738,83593,-286934,903652,627298,-61880,-41015,-37714,235114,1736,25624,55582,-55210,12788,-16890,-9307,97489,3907,-30932,9258,17357,-5973,-5308,1804,18157,-4922,-434,4251,-847,-8493,-573,7223,-3642,easy
62962,14061,17916,6294,7530,5577,1949,1149,-35472,26242,-10451,-3678,-4368,-1950,-702,-418,-44646,-7312,2514,4514,-1609,14398,7045,1322,-20630,7473,-16090,-4474,-5312,-3539,-384,-447,-48597,6949,-9471,14309,-1709,-757,971,283,535,37226,-15163,-3042,-4666,-2941,238,-886,-9174,24016,-27967,49132,-33554,14785,-524,30277,12965,-18604,6619,-5692,8192,-8988,18783,-17351,2759,-3703,3603,-2957,16348,-17937,2782,-2184,7747,-7429,1355,-733,1740,-1769,730,-1169,difficult
84563,88560,12590,7207,5608,5090,1872,970,217346,164375,8077,30665,5562,6680,3667,2692,158045,-48405,-7996,-2372,1801,-2106,-281,-43,34106,-75621,-8334,-2059,-4526,-3236,-755,-507,733516,-49189,3374,1433,7356,-1744,603,147,112550,-36475,1879,-1756,-1861,-2031,-854,519,-59301,-123939,699410,-620966,-212780,-27216,26432,12714,-16073,-338,11708,-1495,-33037,313,3492,-3189,-3761,-6327,11882,-9217,-8786,-1130,1492,-287,-3948,-474,1358,-1457,-2735,-464,654,372,easy
683104,236979,37128,15872,12987,26716,10665,5952,220789,-148176,-551,50566,42100,-7258,7702,1709,505033,-97556,7365,235,25272,16722,9701,3035,-498842,-159436,-35539,-2526,-9636,-21190,-7702,-1446,-613098,-216561,-34781,-11303,-10487,-25912,-9684,-5265,-512720,-83504,28757,1863,-2658,-12192,-5680,8617,284244,-1003875,-114256,100378,50620,-61880,-57125,133057,7916,-42904,758,63538,-50331,-2761,-8777,13166,-16828,-34908,-851,7829,23980,-37912,-4722,13720,1999,-17403,-1982,4004,1326,-4481,-3819,13882,difficult
574273,65510,27391,19422,13179,7857,2462,1181,702962,26484,21141,8343,4110,7724,2403,-585,722244,36055,-552,-8012,3097,4397,2327,-348,-51125,-63121,-27188,-16461,-12952,-7464,-2300,-1071,297493,181374,-25880,-16564,29968,35017,61,-356,-336245,114015,-5213,-2326,6115,11286,-330,788,19282,-773369,348618,-633738,9571,-99176,244495,-67359,-21693,-26636,1308,20667,-16355,-8449,-103,14238,-1013,-16049,42920,-23853,-3327,-11861,42481,-23731,-76,-4627,2361,-391,237,-723,715,1144,easy
92179,82453,19027,6755,14959,22130,23208,11999,251166,-48251,9197,-897,-6117,11216,2095,-1393,1726116,-26872,-6328,16104,18635,14824,5987,87,-60248,-65297,-12873,-2947,-13950,-19350,-19237,-8952,-86749,-65461,-8219,682,-1701,3855,-13248,-6445,1834703,-15457,-2729,7405,-3969,18048,-12600,-1415,1474950,-1786364,-26501,1921452,21379,-38425,-164,50004,-15525,-6545,4654,5490,17001,-19051,3629,6723,24752,-32585,12249,-2268,3608,-34174,23205,14193,3892,-25224,5989,648,1480,-9039,2507,5030,difficult
