delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
358051,38607,13033,3098,1544,2078,983,593,-218259,140084,-2333,10570,4553,4584,205,98,-169097,-15062,-5328,4753,-270,511,-171,126,-350742,-32156,-12151,-76,386,2586,2628,2352,-210134,44051,15931,13681,18508,7585,2092,3864,-310506,-34834,-12244,-1913,-1228,-1765,-670,-404,49162,-181645,140608,-100372,-155146,-17094,76207,-78885,-2995,-6823,28082,-28175,-5817,-4829,13757,-15594,-4823,656,18122,-19736,-4073,2075,4999,-9350,-376,2799,-536,-2762,28,2226,1512,-4268,easy
8072,5250,9800,30639,6111,7307,1804,2711,3792,-290,-8942,7064,-1543,-2249,-374,-854,1723,5682,2123,19069,-1598,5158,918,-1469,15530,44322,5631,11765,-4471,9530,1349,-1432,9487,4036,3813,21654,-691,368,399,927,463644,117694,14105,-24459,14421,22244,1196,3046,-2069,13807,-6043,454157,5972,38640,-40286,113658,11065,3508,-1818,10292,12005,-7304,9889,-46113,-55,-2873,3780,15112,7407,4372,-9162,21876,1292,431,-950,797,-615,37,2359,2119,difficult
63724,7382,4668,27736,3442,7680,2570,3483,-50705,1972,4921,93835,953,-3667,1732,1049,-53359,6701,-1178,-4804,6678,742,1888,-941,-55823,-1635,-3105,39668,6112,277,1655,1795,155212,79,3031,-17882,10059,2587,2253,-168,223943,217317,26453,6160,7899,13774,2746,1495,-2654,-2464,211035,68731,4729,-8336,1714,217238,-6099,-1927,6136,23422,-98639,44472,-57550,24042,5725,-566,3947,-2160,4409,-465,2310,11187,156,-233,598,493,-1990,2736,-1963,1663,easy
98602,50076,46058,17225,5451,8299,3018,2571,-92151,-31770,-33825,29035,-1860,-1969,-577,-1410,-95859,-37676,-29345,7342,-927,3830,-974,682,-89506,-29139,-42866,42964,1733,2178,-619,545,-72060,-36234,-35028,25227,-1022,725,-256,-357,-56868,-38378,-16285,48836,-1873,-3539,1138,-1175,-3708,6353,17446,15192,-5906,8537,-7095,-2144,4480,-13521,7838,18743,-21693,35622,-17737,23609,933,2660,-2755,-851,5799,-1652,-1453,-4264,-397,355,363,1394,2092,-137,-902,-818,difficult
130962,57309,2758,3026,2662,1135,662,344,289734,14191,983,2295,-255,1860,-7,307,-124725,-48359,-1971,-1755,-189,-33,-17,283,-95349,-36798,-1465,-1782,-1874,-449,-501,-185,-121492,-53293,-1706,-2738,-1615,-111,-372,-68,-10243,23837,-860,-718,-980,-440,-76,174,-414459,29376,-26143,111249,-62550,11561,-16495,77130,-2954,506,-241,846,-4050,-27,-956,2020,66,-1685,259,635,-1893,-416,338,-329,-10,-484,129,296,-24,-468,117,242,easy
365665,53753,10004,7869,4769,5608,3213,1221,-360897,-41042,-674,43394,-2063,2372,-966,789,-363181,-43688,20538,71034,-2296,674,-592,1125,-362913,-43272,1791,36531,-133,2704,634,657,-349134,-34867,-1734,30185,745,433,-880,1436,-89909,115502,1987,-1973,4394,1902,-685,925,-2284,268,13779,259225,-2646,416,8405,150369,21212,-18747,-3525,3721,27640,-34503,-6346,-32158,-233,2163,878,3649,-1698,2030,-2271,1469,374,1226,-1514,195,336,-468,779,-511,difficult
145706,10668,1956,2166,1591,940,512,907,436301,39289,838,1799,21,1536,258,-152,-128954,6811,8749,6270,921,1755,1361,1613,-6886,8817,-138,-466,421,809,-14,-417,-58064,164500,37163,7907,9871,9908,2623,2046,-119332,24932,9844,9613,5103,793,670,-306,-565255,122068,-51178,-61268,-32478,2006,155683,-139568,7911,-8887,37301,-27319,4471,-6736,8373,1706,900,-500,9450,-4768,219,-946,9099,-9115,1103,-1375,2637,-1953,1765,-2030,2463,-2352,easy
737163,123390,39773,16928,4653,15046,4136,9124,-672098,-81625,-38511,-11041,-3572,-12581,-3213,-8176,-481463,-109245,-34663,-14753,-1366,-12924,-3510,-8738,-722289,-109229,-36689,-14116,-4171,-13284,-3646,-8623,-681589,-92568,-32257,-14001,-3928,-12978,-3357,-8755,-699063,-73259,-37268,-11713,3584,-7662,-986,-6964,190635,-240826,40700,-17474,-27620,16,16661,19309,3848,-2026,4432,-5011,-3712,637,115,2288,2206,-2805,243,7512,-343,-360,306,5316,-297,-136,289,2371,-562,115,-132,1791,difficult
180784,56769,5869,3581,2132,954,847,397,-135126,-37296,6527,-2298,-427,-347,213,137,90909,-42911,1298,-52,-410,352,-560,-67,-113686,10640,-4493,1437,2488,4643,168,543,-144013,-47594,-3973,-505,-1755,-321,-613,-327,-53160,28743,885,2446,3184,2645,5734,1513,226035,-204595,-30327,90853,-5615,53551,-58234,76337,-5229,-5791,520,4858,2246,1489,-1942,2951,17,2898,-4243,4939,699,4291,-4964,2966,-773,728,-781,6347,-204,610,-870,1840,easy
283665,52356,16046,34177,14254,14217,4273,4605,-269673,-44823,-13678,-28448,-7688,-10326,-3066,-4104,-281786,-48564,-1855,-12208,-473,-8126,-444,-229,-261096,-46485,-15038,4534,-8295,-9241,2855,325,-215006,-39582,-6709,-1602,-8667,-5876,799,-271,-99731,116292,-9301,-30250,-12764,-12766,-2946,-4385,-12113,20690,46090,115275,-3741,2079,6903,155874,11823,-13183,8329,-2592,16240,16742,-6136,-28648,7215,-7822,-372,-4097,2200,-1115,3365,-6890,2622,3299,-2056,-3745,3875,554,-596,-4114,difficult
