delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
114222,28248,3734,11967,4326,8901,3718,1738,-43167,-13551,-3282,-6245,-3148,-6851,-1836,528,-111218,-16678,7753,-6556,20419,6014,2657,542,189584,382875,9238,-4260,4605,4819,647,738,-68051,300802,-3127,399553,11035,1485,-311,2296,23567,-15814,12865,-1195,4493,-2010,14,196,easy
457815,134582,41193,10336,5638,3098,3048,915,-431470,-128915,-38071,-6650,-4634,-2410,-2790,-848,148212,163451,-1324,-3699,7128,2836,326,1010,-133340,-87758,-28960,-6372,-1948,-1353,-2738,-590,579682,-281552,292366,-251209,36747,-27636,2951,-2673,11762,-9076,5246,-4189,3116,-3064,1858,-1600,difficult
175743,37366,1069,9369,15239,12344,6593,10142,-164802,-31875,2735,5569,-8194,-2109,-3516,-1024,-74325,-21391,9180,-6344,-12124,-9770,-5478,-9108,1511156,-20114,19847,-6166,-5984,-634,-4067,-9093,90477,1585481,10484,1277,6445,10667,-11913,178,-3930,6140,-7661,9136,-1962,1411,-8084,15,easy
190116,156221,15040,19964,4076,7362,3363,1873,1172469,-3285,16365,-3118,6538,-3633,7725,2039,-152550,-110549,-4533,-13632,1838,-5127,-793,-688,190528,-134358,17623,-17104,606,-4752,-1894,-1151,-1325019,343078,-107264,-23809,-20898,22156,-10514,-3472,-4700,-1232,-1494,375,-8518,-1101,-2727,-463,difficult
1029774,358094,108196,71225,58816,23135,31033,13466,-78052,-206287,-39654,-66061,-54011,-19176,-24738,-11016,-681759,-346153,-103794,-70534,-57714,-22541,-30454,-13183,506108,-259406,-101232,-56268,-57272,-19462,-29713,-11705,-603707,1187867,-139866,86747,-64140,2562,-4473,14266,-3703,442,-3365,3079,-5716,741,-2167,1478,easy
1193469,457881,95164,31014,16786,19201,7872,4245,-435481,-418574,-88159,-18675,-9602,-16654,-4497,-2206,-473517,-342686,-88606,-7644,-11288,-9585,7099,865,-1024136,-432712,-90850,-29448,-13111,-18185,-7248,-2883,-38036,-550619,75888,-90026,-447,-2244,11031,-21804,-1686,-1823,7069,-8600,11596,-14347,3071,-3748,difficult
22614,20682,12492,21624,12264,7159,3038,3407,315377,53734,8933,-1360,-8353,-4575,-187,-2110,-13139,-5511,-2245,-5361,-1905,-2275,-148,-828,48410,-12863,-10948,-20009,-10453,-4786,-2319,-2430,-328516,61549,-59245,-7352,-11178,-8703,-4001,-14648,6448,-8548,2300,-2511,39,-2171,1282,-1602,easy
975102,308082,71235,51117,41298,28501,17824,15036,-821109,-300055,-67153,-48334,-37675,-24079,-16395,-13647,-314512,-224709,-54570,-29915,-37368,-23278,-9950,-9624,-837671,-285011,-35630,-43957,-35385,-21451,-14625,-13589,506597,-523159,75346,-60302,12583,18940,18419,-14042,307,1983,801,1827,6445,-4675,4023,-3965,difficult
836707,569144,54672,38532,23856,11159,8778,10862,1391677,385530,23901,4779,4383,17383,-2224,-4959,330518,-495633,-17684,-26016,-18578,-4673,-688,-8827,-208201,-532538,-40160,-18452,-12366,-8374,-5834,-9075,-1061159,-538719,-881163,-36905,-41585,-22476,-30795,7564,-22961,6212,-22056,-3701,1536,-5146,-3868,-248,easy
56375,25439,9825,6170,6302,4171,5073,2211,822226,35470,10101,7115,16358,11631,2440,7570,13382,-7430,-6765,-4804,-4437,-333,-4071,-1197,-53010,17301,-8027,6618,-1699,3427,-1977,2560,-808844,-66392,-42900,24731,-16866,-1262,-11919,11422,-20795,2738,-11964,3760,-6511,2094,-8767,3757,difficult
