delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
229154,42616,10989,13534,9101,14129,13481,5657,-97620,-26867,11011,-4316,-4637,-11486,-9770,-4126,-207988,-28205,3994,28023,10077,-5889,-9503,-3138,-152130,1999,1592,-8356,-3126,-9784,-12336,-4231,easy
75428,34826,9439,4965,6793,6985,6078,3409,267423,44512,70405,36154,50104,10035,6119,4172,-17368,7260,7307,7745,3981,5303,609,-275,320460,42942,15255,20757,0,2128,-2085,5273,difficult
1325889,148451,31197,86484,32647,14334,10594,19772,-1188068,-89577,-20298,-55382,-29250,-13430,-9412,-19022,-1272091,-128540,-27187,12458,-28544,-1587,-4684,-16980,-1181725,-107375,77182,-247,-19922,-5447,-3777,-17679,easy
317199,128494,31536,93605,14736,16170,7952,7082,-290477,-73614,-19297,-33649,872,-4746,-699,-2628,74675,-59912,68127,-33836,690,-3678,4501,-3328,-291506,-96222,5820,-52995,-10012,-10798,-3780,-2721,difficult
245487,39639,13965,34487,9090,12914,13016,6024,-158725,-35172,-13416,-33426,-7841,-11673,-12804,-5605,1079569,30252,-3752,-25638,-6655,-10785,-8050,-786,1266948,245251,26337,17373,62259,6053,-4805,2105,easy
199871,35574,15077,29276,12480,9195,5171,3601,-129796,3025,29458,68482,2873,5493,1628,-509,-179342,-6283,45499,57401,-6469,-5033,-537,537,-142185,-17506,11909,81772,-254,-1325,-1088,1089,difficult
631129,379792,42651,50375,58540,34607,13411,7919,-504941,-273933,26428,78323,-4859,1512,-6331,-1215,-193946,-167600,47228,7931,26346,-15238,-8544,1252,786502,-116096,26508,27140,99093,63659,3550,1531,easy
734316,74239,22539,64686,17069,11683,9634,7819,-711996,-53093,33993,30821,-4825,-3511,-2781,-1345,-630175,-53381,-18423,-36284,-7507,514,2256,1935,-713188,-55256,16708,-24091,-6826,-1996,-6301,-4251,difficult
133534,42241,15415,7343,12809,6803,4042,3649,-111959,-29003,108964,12962,-10011,1022,4838,3830,-106964,-15913,12229,91822,-3665,-105,-937,-327,13789,-20331,7243,31317,-1048,916,298,-759,easy
109272,44601,1618,9699,12321,5484,2159,3832,-96699,-27852,16369,64381,1996,1459,2923,-1369,-97577,-28124,859,45611,-5214,2408,4530,611,501330,64444,32613,111069,-1016,5144,783,163,difficult
392570,194059,28558,16740,22237,13799,4102,3426,-273256,-152084,-17476,-16026,-19347,-11755,-3403,-2924,-369489,-164053,14011,-8515,-11804,-10735,1326,-1128,-130108,-96594,-3931,3595,-18068,-2615,4340,1653,easy
356201,78795,9164,15096,3356,9551,4884,3277,-339453,-74110,12980,120427,25349,5526,-1116,16782,-260384,-60803,2456,-214,-328,-7306,-4255,-2204,-334604,-72311,5945,7262,3968,6026,9041,650,difficult
1107824,121060,34137,20711,24728,16856,7829,8380,-846758,-101096,-20403,12050,-9565,-8680,-2190,2560,-1030132,-109462,41828,59045,-17293,-4563,2874,-2701,-18302,-54686,45487,83763,-6139,-367,3283,-6335,easy
197575,104183,23087,13231,8520,6530,5377,2645,-182827,-89207,29069,213907,8454,6307,-684,3000,-183361,-91421,64,69863,7983,3408,-2732,542,-175021,-86748,47660,27726,-5224,-1757,-3766,-1242,difficult
342534,97259,55554,58912,19811,12440,6576,9069,-264071,-89176,-13080,-28423,-18033,-8552,-4033,-7937,-248839,-74108,47135,-12653,-13905,567,-2730,-5013,-222691,-82353,-41551,-4418,3151,-5351,1198,-2289,easy
294102,20280,13960,22482,7753,9189,3796,4890,-65127,3251,-8650,-19396,-4761,-5921,-2833,-1362,-281884,33720,15611,-2147,5366,-5034,4483,-758,-224189,-4152,-13085,16779,-737,1022,-990,-1575,difficult
126984,77335,15893,8555,20492,16679,10688,11111,-115804,-61897,58822,56836,-6836,-7232,-7454,-721,-90887,-49215,18406,108096,-14262,-4783,-7366,-8631,1804566,78911,65692,72082,-13106,-7868,-7725,-6032,easy
344464,63997,4243,35649,7020,8779,4709,6399,-305031,-8915,83043,-1991,-693,-2837,-1958,-128,-328244,-38079,91720,112334,6439,10312,1551,-1580,-304252,-37522,31894,32604,-1548,6935,3268,-2294,difficult
46083,7427,6919,6824,6341,4106,4087,1150,89331,59015,3138,3433,383,-2486,-3285,287,-31895,6770,38912,47666,-804,2558,2031,4091,206391,62587,80611,81547,20761,5851,-382,813,easy
281329,124362,31327,33063,75300,31460,6131,5816,31760,42248,-11389,34298,-53524,-23122,3402,10933,-249361,-62330,1936,-3026,-73845,-20070,815,9366,-213852,-44467,314,-14230,-70335,-27296,-1673,-2436,difficult
154920,21322,4716,6554,6422,5155,4859,1875,-59104,1999,82168,89429,1789,8886,3261,728,-148046,-8900,24011,96466,-3273,14464,-811,2625,-114512,-361,20710,43331,-1512,6531,4174,71,easy
912407,32354,15785,26816,9400,4517,3990,1825,-881894,-11845,15623,211012,11434,2327,-709,6251,-867790,-25387,33609,-11807,1278,2789,1790,1848,-759182,118313,31481,16111,10670,1355,3257,2095,difficult
40379,16366,11519,44752,9484,10648,5912,6600,2471,39988,81242,5406,-5454,-4106,4590,2298,-6363,-4921,-4416,2620,-4941,1997,-1400,-5302,637046,103980,13738,7426,6485,-4761,553,-4696,easy
345461,60729,17363,55247,14673,9363,8142,4227,-162850,-34457,-11746,-44534,-11991,-3606,-3812,-608,-108347,-15356,-12684,-37628,-11396,-3608,-5231,-2024,-274995,82912,21672,44147,15170,-2451,-3501,-1442,difficult
417320,59295,21743,23507,11201,11434,3250,3348,189214,129040,3006,11938,23363,-3101,-690,3736,-268764,2060,-14153,45425,-2420,-3877,920,-221,346222,20307,-7718,1836,9780,-706,4455,2952,easy
274311,58590,15161,36671,12888,9482,5156,2808,352618,118044,-5110,-29163,-8892,-6973,-4124,-613,46806,-4400,630,-5754,-2588,-3459,-1241,834,48180,-1195,-6444,-22470,-2418,1922,-4632,-2390,difficult
185165,36140,10421,20109,7925,9668,5225,3120,263111,-16402,1057,-15708,2923,-7292,-3437,-1196,511993,13249,6220,682,-1961,5059,-366,3409,-167005,-15098,7679,-13133,-1395,-4633,-1009,-1331,easy
269353,102557,34613,55089,12321,14505,3674,4317,-236185,-85940,11452,-5684,4693,-3767,735,-1601,-230457,-86666,32445,32378,7241,-8118,-2548,-1706,-260906,-71855,578,-16466,5930,-3596,-990,-2033,difficult
348894,45254,13312,19738,23731,13557,3059,3936,-257204,5907,-12202,-8822,-16193,-7685,-1359,-2054,-241837,-37051,-12749,-16307,-22863,-13154,-2568,-3577,62424,-33488,77857,10393,-5320,-1684,2405,1041,easy
145422,59949,20865,25423,15525,10928,3790,3183,1295254,-19990,-14458,-16708,-10174,-5849,-1895,-1580,-63079,-29860,-8480,27356,-8724,-4177,2333,3304,-111028,-19996,86236,51690,-12684,-4091,-2264,-1163,difficult
1262233,142882,44319,26053,51487,19994,8449,4910,-786044,-49922,67350,-5428,-22621,-3147,455,914,-425980,61285,114850,28000,-30092,41978,3495,-1219,-1039424,-79204,-23330,308828,-29846,6270,4458,-1819,easy
682096,249002,10719,61537,19675,17839,8580,7912,-266667,-191989,-4464,-14543,42619,20851,-1274,6047,-324351,29328,1904,-53107,-2309,19164,-2989,3121,-622471,-240149,-8803,-35219,-17453,-16063,-7823,-7407,difficult
177266,32234,6842,19044,8578,7195,4211,2230,-56439,-25813,-5811,-18509,-7770,-6781,-4076,-2075,-154629,-26316,4973,-17318,-5960,170,-1982,2693,-68024,-12006,-559,-11718,-3817,-3794,-2643,747,easy
334430,50354,13705,22838,8782,10737,5606,6484,-253501,-27967,-6980,-18893,-4880,-7958,-4822,-5307,-264743,-17000,5399,8209,-5239,-8007,-4196,-6125,-311774,-21633,11002,48513,9953,14138,685,-4103,difficult
825644,202593,42282,14573,19815,13814,4419,4209,-477374,-157153,-21115,-10263,-10177,-9281,-3698,-3686,-381100,-186797,-35229,-13238,-17222,-11752,-3603,-2877,-791715,-150848,-9327,9666,-7612,-1883,-960,-1312,easy
141565,43228,9804,75468,16822,6405,7853,3047,-122889,-33119,103975,6597,2542,3716,-4523,-29,-86424,-26506,47747,116025,-11161,5718,-4290,4306,-69421,-23066,-5836,-13306,-7879,7328,2790,58,difficult
96783,50588,22169,46406,9352,20619,4743,3254,-63805,-13166,1397,-7245,-1202,-12244,10475,-571,-18035,-29942,67931,61278,5826,-6637,-2183,1071,-61663,-27010,65335,18791,8935,-9722,-781,-1089,easy
1352602,68663,46605,58048,20196,12845,4129,3611,-1333087,-26128,10174,-21238,-2281,-632,1215,4759,-1174104,29647,-32479,-24213,-10164,-7757,-118,189,-1246005,-58375,-36592,-51609,-16477,-9991,-3375,-2593,difficult
318524,81640,9875,9613,17602,12881,3703,5030,174006,-57442,5883,24084,-8495,1956,-96,-1231,-310267,-51513,31084,22159,-12984,-7808,3237,-1796,-305571,-71388,106415,57481,-4529,-6525,940,-1446,easy
727956,145966,59400,38571,22546,5624,4805,5908,-710346,-115411,-12212,23013,14254,5888,-1125,-3107,-720879,-116603,-46,9309,-12619,1165,-1424,-3055,-581701,-92625,-35943,2830,-1414,2547,-1667,-2842,difficult
1319976,799685,212784,66666,77439,58325,36437,28561,-265034,807790,-52976,12453,-12041,156090,-15394,-7908,-863591,-632727,-194065,-56939,-65388,-50076,-31813,-25303,-122414,-422127,-122806,-4017,-53852,-23121,-15551,-13652,easy
80464,24630,9697,9976,8054,4603,3665,2786,93775,58727,-7656,-1232,-3711,-2311,-2354,-1942,666218,15565,-66,1835,-4578,-1154,-2021,-1460,-17788,11485,-5855,-5727,-3245,-770,-3001,-2042,difficult
471931,306019,116544,56551,26926,9023,6760,20176,-400176,-247329,-96211,21608,-21072,578,-5109,-17127,-365794,-293307,-60993,-40643,-6451,983,-2893,-18699,1413234,-94058,-67464,29614,-10026,3045,-2997,-17611,easy
191984,142980,32583,19585,20435,11464,9632,6080,72304,-122027,-10335,-8653,-12900,-9751,-6591,-4391,-130925,-131323,-23079,-12361,-15034,-9744,-7330,-5214,-173203,-131756,35268,18720,-6908,6446,-4809,-3130,difficult
657887,111623,14855,10267,10866,6657,10135,4644,-291645,-92309,-8638,-4676,-7462,-4394,-9227,-2905,-521482,-20420,58924,34224,7602,4066,-3354,-1425,-638358,-89582,15947,56737,3610,13818,-6369,-2187,easy
305322,37854,16788,22489,28142,8746,8397,6888,589421,-5650,25962,591,-16340,-1090,-4714,-3928,-186417,-33753,-5520,-9729,-21901,-6722,-7603,-6307,231012,55335,22684,32246,-21682,1637,-1096,-1598,difficult
222215,46896,23261,6442,10595,9160,4971,5029,-70020,-3595,-21401,-3932,-4746,-6828,-3854,-2955,-191121,-19100,-9741,86834,-1676,-3179,1627,-2931,517016,17583,-707,17232,-3395,9849,-2341,-3087,easy
107189,98912,56644,56167,14381,15224,8730,7332,-58234,-24151,95446,3014,9532,4680,1357,3431,-70131,-71075,-5852,-24434,-4045,-5565,-5476,-4378,-40796,-67541,3334,-27882,2923,781,-4714,-2323,difficult
682900,181936,15319,36295,38235,10550,9707,5129,-632086,-148543,-8189,-31967,-33823,-6843,-8490,-4128,-637032,-174425,-2729,-21257,-29232,2759,1521,140,-177698,-133645,-12390,-28365,-27465,-7033,-7743,-3651,easy
1158705,188641,125986,20655,28109,21893,21105,30905,-1115738,-125921,-99118,-2253,3528,-9961,-18460,-28661,-1140227,-182223,-121316,-15183,-21768,-14222,-15660,-27766,-888923,-122845,-113635,-10618,-19685,-16916,-18792,-30090,difficult
113931,17626,9827,5122,8384,4523,1967,2857,615771,12836,73323,116150,-661,8384,458,5495,-42270,14316,-673,24088,-1524,1445,2615,7241,404562,77809,20237,20439,4554,8541,2586,4550,easy
340593,258768,32678,65281,30026,15740,11978,10975,-229541,-236707,83515,-27624,7369,-3728,-9267,-2884,202667,-240284,5604,-9419,-12562,-1542,-949,1957,979221,-168575,-9509,140038,26877,20980,3326,-6022,difficult
217230,83596,30110,31179,22170,6536,5401,6171,-206073,-72493,-2522,108675,-18394,922,-1805,402,-204855,-71279,15065,-12689,-8673,2050,611,-1270,-187213,-54752,-7009,10692,-18483,4893,-2217,260,easy
1897470,183803,55696,102272,81408,67201,17735,10303,-1014503,327619,19837,-31840,-40311,-39503,-815,2286,-1349226,38322,30487,-21215,-24410,-21607,-275,-1759,-1273578,343314,119067,-10984,-5858,92112,-5907,-3910,difficult
432399,90639,23216,15349,16827,11474,6103,5985,-268128,-12315,-21714,-8935,-10031,-5966,-3253,-3636,-309968,-30677,-13104,62920,-4141,1819,955,1353,239101,261069,-19953,27698,-3752,5757,-2898,-2779,easy
344848,141494,11507,18898,19024,15176,19002,8910,13483,59408,17699,78632,11354,6981,-10405,-4579,155938,-27478,31594,13754,19299,10389,-10155,-4935,213010,-33184,-6366,20397,-1130,9349,-5895,-1293,difficult
