delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
13797,35288,10269,8581,19567,29088,9113,14172,-9027,-2562,139,-825,-6838,-2008,-1718,-5422,-3048,-22461,-6650,-1039,-6066,-8351,66,-2902,-8630,-31311,-7242,-7784,-17956,-22969,3752,-12516,114871,6103,8018,31771,-5090,43689,26278,6084,421749,228728,6956,37745,-11599,5087,64661,-2070,5979,-5582,123501,306878,-19899,-8850,37414,222625,-6789,-592,15260,-1062,-214,-6745,39555,5974,772,-11890,12866,-6509,-6343,-14618,66658,-38602,1784,3686,22526,38383,2520,-9614,18600,-8154,easy
341239,85492,18365,13547,20349,28096,17251,15389,-296837,-58923,-3784,-9258,-16590,-17000,-7525,-9225,1232283,247942,39537,17708,165,379,6611,8888,587934,251665,33113,7222,31462,10095,4678,12114,737013,533467,5519,2546,-10261,60636,38748,1859,93493,3816,16473,-514,1759,18744,31696,3044,1529120,-644349,149079,-643520,306865,3723,281802,-529651,43321,-6424,-27594,10954,26966,-10486,-4676,-3060,16755,31297,-41723,12020,17379,9716,50541,-41892,14136,-1933,34070,-7052,18113,3226,-10255,1185,difficult
790286,73746,32217,33214,19127,31775,16330,9968,-211688,-38702,-18431,-22141,-4329,2440,-6861,-4876,-764193,-36307,-2722,-15306,-4522,-5980,-7651,-5194,-706374,2923,-4650,1360,17244,-17075,-7866,-7063,-644510,-39169,-25616,-31919,-8799,-27825,-15003,-9295,-779812,-64086,-25451,-23500,-11580,-26213,-13348,-8837,-552505,57819,61864,-135302,2395,39230,-42092,-24917,15709,-1928,-20966,165,6835,16666,-33279,8419,-193,21766,-26043,-2781,-8420,-11095,-10750,1612,-790,-215,-7137,1655,-318,-1869,-2232,458,easy
1668605,129083,57152,43436,32534,49472,49644,25830,-1500773,-94643,-51795,-36021,-21115,-34590,-46782,-24089,-1353513,-69287,-49279,-39065,-26507,-46670,-47432,-24937,-1198501,-59498,-24216,-3365,12487,10389,-37085,-11058,7956,25170,-29250,-41259,-26638,-37804,-46667,-23803,-1421917,-103807,-48098,-37208,-4614,24476,-39431,-8146,147260,155012,1206457,-1429873,25356,9789,84668,-128977,2516,25063,-5034,-18848,-3044,35700,-37894,4051,-5392,38994,-39125,22024,-12080,57059,-48193,62280,-650,10347,-9582,7236,-848,13879,-12745,15657,difficult
273135,102639,14722,13286,6097,19264,19447,7589,1618332,105494,67880,20077,13820,7797,-10280,2002,46470,-30368,67860,-1214,3326,-11843,-12779,-4696,384981,-59131,-4981,-9162,-1781,-4522,-10777,-4545,-243096,-57509,59,3040,18561,4436,9265,5888,-173221,-87656,-13523,-11598,-5386,-16949,-17582,-6972,-1571862,338511,-628077,69875,-135862,-28763,1622,-30147,-20,-72841,5040,-13582,-21291,-7948,12202,-14638,-10494,-5107,20342,-23947,-19640,7321,8958,-21385,-2499,2002,20042,-26847,-6698,151,10433,-12860,easy
221390,29762,7654,2620,6374,11671,7977,3512,-215591,-10480,9521,4026,17642,30162,13455,3246,-27393,-12254,-6684,-1652,333,-5134,-3340,-1104,-160675,-3825,10863,3051,1237,-4328,4214,-376,123298,31145,-3945,6044,8522,27378,6391,11240,-156021,43726,8865,-1027,4193,-8756,-7424,-2653,188198,-133282,283973,-279319,-1774,8429,34970,12581,-16205,17547,-14808,12810,-5678,4703,2993,-7071,-17309,904,7285,-4329,-35296,806,31706,-36134,-16795,7554,2177,-13815,-4350,728,11616,-13893,difficult
22210,17039,15750,4447,7890,13293,6437,5106,125767,24570,6515,1517,-4226,-6872,-4320,-2798,33833,-10510,-9539,5950,-1555,3380,3187,2194,5849,-8821,-6373,3329,6014,40772,14498,-1110,70074,-4539,-7284,5253,354,9997,17223,4806,886,-14317,-13890,-3313,-6877,568,-4607,-3264,-91934,-27984,64225,-69188,-35080,1689,4282,-9778,-16054,3166,-911,-6606,4433,-2621,1924,-8566,2671,7569,-5660,-7231,10252,37392,-30775,-9429,7507,11311,2725,-21830,4992,-3304,5916,-8070,easy
540351,62893,13385,12757,7127,14767,4970,6567,-503361,-57921,-5247,-7155,8470,26812,7425,3034,-346110,-9791,-8779,-11200,3342,-5275,-2483,-5141,-346110,-9791,-8779,-11200,3342,-5275,-2483,-5141,-205564,49675,3183,-677,10516,6061,3137,-2407,-359427,-49632,-11901,-10266,-3539,-4460,-2867,-2781,157251,0,140546,-153863,48130,0,59466,-99307,-3532,0,11962,-15084,-4045,0,10523,-9589,-5128,0,7174,-14055,-32087,0,11336,-10521,-9908,0,5620,-6004,-8175,0,2734,-374,difficult
108527,30978,5559,7349,8069,5596,2241,940,-87044,-16616,-3618,-3814,-226,10541,-375,1415,-31242,-20681,-5224,-7221,-7672,-4247,-2012,-815,-65026,39235,7302,-2288,2873,5792,2187,2491,53611,37279,12985,9000,25203,9080,3545,2279,-28527,-8942,2493,-1871,-6925,-4793,-1441,-574,55802,-33784,118637,-82138,-4065,59916,-1956,-46221,-1606,12526,5683,-10492,-3407,4933,11288,-10871,-7446,10545,22330,-32128,-14788,10039,3288,-13873,-1637,4199,1358,-4986,-2230,3306,-212,-2853,easy
82073,16491,6915,7664,10158,15369,14317,8550,659081,161170,8528,4781,13537,13832,4855,6584,-68978,-10373,-114,3219,-7349,-9912,-8813,-3905,140819,98799,-1421,55677,2079,-4874,-1442,953,-55035,-5185,-4359,-6282,-9046,-14235,-13221,-7830,-9481,-9101,-5282,-7014,-8247,-9087,-10942,-6252,-728059,209797,-195854,45554,-171543,109172,-103984,-3916,-8642,-1307,-2938,-923,-1562,52458,-61959,-732,-20886,9428,-11125,799,-23744,5038,-9361,5148,-13668,7371,-11779,2279,-10489,4858,-8783,1578,difficult
