delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
310703,26306,8535,9268,4051,5767,2708,1880,183366,77389,12293,32480,15204,33756,24607,12403,-260009,759,6301,-5873,1544,1467,-238,244,2086445,60952,11785,5459,12850,19071,17260,12379,-443375,2346454,-76630,60193,-5992,5484,-38353,11332,-13660,11306,-32289,17604,-24845,17498,-12159,12135,easy
1103641,300494,44847,56389,31479,25579,57328,42279,-1034569,-233167,-42205,-51389,-31173,-19257,-52440,-40413,-299234,240880,10167,1674,-3153,53130,23853,15941,-603646,-230194,-39581,-48207,-23686,-21699,-51688,-37969,735335,-304412,474047,-471074,52372,-49748,53063,-49881,28020,-20533,72387,-74829,76293,-75541,56354,-53910,difficult
556077,169010,37628,19980,13587,35486,15434,11126,-175267,-95990,10750,-14813,-7411,5925,-2256,-2106,170386,-88807,-13296,12743,-5886,15842,13268,12004,-293867,-135844,-29743,-530,36896,-6563,19448,8862,345653,-464253,7183,-47037,-24046,-16447,27556,-13273,1525,42782,9917,-22405,15524,6180,14110,-3142,easy
1160949,59893,30909,12775,18425,23174,11840,10734,-994898,-10320,-13386,-10536,-11498,-11853,-8378,-7132,27819,32998,-24931,493,-13817,19985,23271,12302,-1147900,-56819,-30133,13084,-10860,2055,12682,11787,1022717,-1175719,43318,-89817,-11545,-5202,11029,12591,-2319,2957,31838,-17930,31649,-10589,19434,-515,difficult
96630,19153,4402,1371,2972,2793,1888,2153,66177,-6525,-1352,944,-2105,553,-838,-1291,62256,4609,12967,2821,-1208,822,670,2084,-51014,-677,-296,1279,884,839,25,-895,-3921,-113270,11134,-5286,14319,-13263,1877,-1542,897,2092,269,17,1508,-645,3375,-2979,easy
892466,251208,35445,42587,25498,34957,78980,23258,-787475,-225447,-32942,-35542,-22722,-18962,-72215,-17831,-873159,-237411,-33963,-36574,-18777,-18654,-65383,-16910,-699113,-217191,-32403,-34531,-22993,-32557,-76943,-22052,-85684,174046,-11964,20220,-1021,1560,-1032,2043,3945,-4216,308,-13903,6832,-11560,921,-5142,difficult
1128732,95126,12109,21314,15931,18550,7690,6974,-433618,112067,4502,-12196,405,-3574,-2270,-2251,-1115638,-61961,-7247,-17898,-13444,-15542,-6003,-3703,-425800,121863,43430,2232,-4713,-8540,-1607,1893,-682020,689838,-174028,183824,-11749,50677,-5702,20130,-13849,8731,-11968,7002,-3733,4396,-1452,5596,easy
748315,152929,30816,29961,8454,22985,61152,8790,-235545,-26137,-19460,-24339,10387,-638,-38109,4488,1249870,104766,17637,-23030,6646,86609,2858,25792,-494842,-147996,-28098,-28841,-7414,-19323,-58577,-7434,1485415,-1744712,130903,-252762,37097,-45735,1309,-5811,-3741,-14060,87247,-105932,40967,-61435,21304,-33226,difficult
289621,94497,31035,17733,5959,30538,10291,17581,-287655,-88820,-30699,-14034,-1736,-14568,16858,-13249,-85988,-81169,-30106,-16321,-3080,-27202,-7217,-16398,2041646,208285,-328,6582,9201,18154,13813,-1672,201667,2127634,7651,289454,593,29778,-2287,22903,-1344,12281,-12634,45356,-24075,21030,-3149,14726,easy
106678,18579,7301,7123,8256,20991,7805,6205,758501,116188,-2639,-264,26001,9602,766,10706,-61280,-11071,-6542,-3412,-6961,-16833,-5720,-2161,-84448,-10780,-6482,-4213,-5932,-12929,-1852,-2687,-819781,-23168,-127259,291,-3903,60,-3148,-801,-32962,1029,-26435,3904,-6486,3868,-12867,-526,difficult
