delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
358051,38607,13033,3098,1544,2078,-218259,140084,-2333,10570,4553,4584,-169097,-15062,-5328,4753,-270,511,-350742,-32156,-12151,-76,386,2586,-210134,44051,15931,13681,18508,7585,49162,-181645,140608,-155146,-17094,76207,-2995,-6823,28082,-5817,-4829,13757,-4823,656,18122,-4073,2075,4999,easy
8072,5250,9800,30639,6111,7307,3792,-290,-8942,7064,-1543,-2249,1723,5682,2123,19069,-1598,5158,15530,44322,5631,11765,-4471,9530,9487,4036,3813,21654,-691,368,-2069,13807,-6043,5972,38640,-40286,11065,3508,-1818,12005,-7304,9889,-55,-2873,3780,7407,4372,-9162,difficult
63724,7382,4668,27736,3442,7680,-50705,1972,4921,93835,953,-3667,-53359,6701,-1178,-4804,6678,742,-55823,-1635,-3105,39668,6112,277,155212,79,3031,-17882,10059,2587,-2654,-2464,211035,4729,-8336,1714,-6099,-1927,6136,-98639,44472,-57550,5725,-566,3947,4409,-465,2310,easy
98602,50076,46058,17225,5451,8299,-92151,-31770,-33825,29035,-1860,-1969,-95859,-37676,-29345,7342,-927,3830,-89506,-29139,-42866,42964,1733,2178,-72060,-36234,-35028,25227,-1022,725,-3708,6353,17446,-5906,8537,-7095,4480,-13521,7838,-21693,35622,-17737,933,2660,-2755,5799,-1652,-1453,difficult
130962,57309,2758,3026,2662,1135,289734,14191,983,2295,-255,1860,-124725,-48359,-1971,-1755,-189,-33,-95349,-36798,-1465,-1782,-1874,-449,-121492,-53293,-1706,-2738,-1615,-111,-414459,29376,-26143,-62550,11561,-16495,-2954,506,-241,-4050,-27,-956,66,-1685,259,-1893,-416,338,easy
365665,53753,10004,7869,4769,5608,-360897,-41042,-674,43394,-2063,2372,-363181,-43688,20538,71034,-2296,674,-362913,-43272,1791,36531,-133,2704,-349134,-34867,-1734,30185,745,433,-2284,268,13779,-2646,416,8405,21212,-18747,-3525,27640,-34503,-6346,-233,2163,878,-1698,2030,-2271,difficult
145706,10668,1956,2166,1591,940,436301,39289,838,1799,21,1536,-128954,6811,8749,6270,921,1755,-6886,8817,-138,-466,421,809,-58064,164500,37163,7907,9871,9908,-565255,122068,-51178,-32478,2006,155683,7911,-8887,37301,4471,-6736,8373,900,-500,9450,219,-946,9099,easy
737163,123390,39773,16928,4653,15046,-672098,-81625,-38511,-11041,-3572,-12581,-481463,-109245,-34663,-14753,-1366,-12924,-722289,-109229,-36689,-14116,-4171,-13284,-681589,-92568,-32257,-14001,-3928,-12978,190635,-240826,40700,-27620,16,16661,3848,-2026,4432,-3712,637,115,2206,-2805,243,-343,-360,306,difficult
180784,56769,5869,3581,2132,954,-135126,-37296,6527,-2298,-427,-347,90909,-42911,1298,-52,-410,352,-113686,10640,-4493,1437,2488,4643,-144013,-47594,-3973,-505,-1755,-321,226035,-204595,-30327,-5615,53551,-58234,-5229,-5791,520,2246,1489,-1942,17,2898,-4243,699,4291,-4964,easy
283665,52356,16046,34177,14254,14217,-269673,-44823,-13678,-28448,-7688,-10326,-281786,-48564,-1855,-12208,-473,-8126,-261096,-46485,-15038,4534,-8295,-9241,-215006,-39582,-6709,-1602,-8667,-5876,-12113,20690,46090,-3741,2079,6903,11823,-13183,8329,16240,16742,-6136,7215,-7822,-372,2200,-1115,3365,difficult
80616,17798,7469,30427,3360,3214,-76624,-3648,2855,17160,1138,2096,-75193,-6814,263,29810,5159,8950,-67306,2481,10092,5651,18822,12233,-36078,-4987,1220,-17074,3209,4993,1431,7887,31228,-3166,9295,-7468,-2592,9829,-8872,12650,-24159,-22725,4021,13663,-15613,6854,3283,-7240,easy
