delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
994670,85067,24092,18330,7491,5644,1973,2225,276685,151382,10562,46348,7591,17804,11436,5249,-81281,330345,185036,76537,25353,16685,22753,13282,1211086,60344,107907,53128,29657,25053,24555,3393,-622522,-12971,-5829,-5082,2379,-1429,976,352,263040,49490,-5483,2530,10411,4572,1235,-969,-357966,1292367,-1833608,885562,178963,-270001,-73315,62461,174474,-77129,-113736,346,30189,-23409,-58210,7612,17762,4304,-27278,8032,-1119,8368,-26482,6001,11317,1802,-23579,259,8033,-9889,-3041,-1321,easy
1291178,258449,17094,65287,16585,17750,7692,5840,-138862,263739,154592,57865,189750,32080,35845,26912,-1209226,-213920,-4392,-43528,-9473,-13248,-1923,-4539,-33933,-140511,12898,15273,20266,-889,-1434,-2652,-1228969,-177228,-13628,-48045,-10669,-11502,-6368,-4040,-828537,-209742,-207,-59692,-14128,-11803,-5890,-3601,-1070364,1175293,-1195036,400432,-477659,73409,-36717,-32514,-158984,17290,-26526,13421,-101393,58801,-63318,-11647,-199223,29739,-30935,-3459,-45328,12359,-10613,-301,-37768,489,-4934,478,-31451,1887,-1388,439,difficult
560526,31454,7478,3389,2181,1871,1452,857,2011389,1123097,37127,36222,43565,40260,26911,14961,-458135,12763,769,12482,575,14,-206,-233,-330016,52516,-1620,-1518,-646,-509,-742,-55,-117755,49940,11430,19989,2449,515,1585,750,-391982,10139,-5556,223,1242,2846,-615,67,-2469524,128119,212261,-274227,-1110334,39753,-2576,-39801,-36358,-2389,13050,-16986,-23740,-14000,21507,-19766,-42990,-1221,3095,-1207,-40246,-523,1024,2331,-27117,-536,2327,-2200,-15194,178,805,-683,easy
334453,163832,11661,35768,21500,16900,5709,5998,1215369,69459,84740,-17102,3651,-137,5069,10820,1224189,509134,101604,19514,-633,796,5444,2118,-172082,-126160,-698,-19667,1625,-12711,1218,-3612,409544,5933,38282,-3661,10702,-4394,8579,8649,167241,-135666,10010,-24844,-15983,-10774,-3678,-2716,8820,-1396271,581626,-242303,439675,-635294,132093,-141599,16864,-102302,38980,-28272,36616,-39181,16006,-21183,-4284,2258,9077,-26685,933,-13507,8317,-6380,375,-4226,7361,-12257,-8702,-5730,12261,-11365,difficult
644996,103626,19129,19834,11607,7460,3905,1861,230439,-71837,24318,751,-4407,1948,170,194,398539,371043,63817,20533,5057,6058,4198,4819,-596621,-92846,-14629,-18749,-10953,-4808,-2380,-700,625612,11680,13540,-4810,-2049,1390,-1484,-131,-45499,-65131,-8923,-9532,-6480,-1493,-335,59,168100,-995160,1222233,-671111,442880,-463889,104526,-76811,39499,-78446,28169,-22463,19782,-39282,13939,-4722,9464,-16010,8904,-4431,4110,-10866,6198,-2883,4028,-6578,896,1149,4625,-5519,569,190,easy
408646,95848,9136,18480,8169,5607,2657,1834,422473,142904,36534,85267,3373,33261,5251,3705,-5969,-62156,3810,3819,1399,3667,1695,908,-378974,-75929,-5867,-16126,-5335,-4694,-2241,-1462,172600,-22046,16457,-13265,-2051,-2183,-931,148,1993610,492495,75278,-3149,12856,20213,11050,3879,-428442,-373005,551574,1821010,-205060,-13773,53883,514541,-32724,-9677,22324,58821,-81448,-19945,2861,10116,-1974,-6734,3284,14907,-29594,-8361,2511,22396,-3556,-3936,1310,11981,-2797,-2370,1610,3731,difficult
987236,252508,34629,21314,9519,10013,10359,3366,698520,-186079,-6894,-6626,-5641,-4463,-7644,-2499,-956586,-247406,-33049,-20160,-8449,-8955,-10073,-3025,-824018,-197396,-29928,-19627,-8586,-7536,-8794,-2646,-743595,-193419,-30454,-17826,-5991,-8351,-9227,-2727,-826819,-229687,-30504,-14158,-3615,-7717,-9517,-2556,-1655106,132568,80423,-83224,-61327,50010,3977,-36268,-26155,3121,-526,-50,-13534,533,1801,3668,-2808,-137,2595,2376,-4492,1419,-815,634,-2429,1279,-433,-290,-526,379,-81,171,easy
917831,105852,110643,79977,41771,24730,22639,8038,-703077,-35724,-102655,-64288,-37891,-21149,-20078,-6188,-725620,-89447,-107980,-76278,-40473,-22338,-21641,-7522,-795728,-62316,-105667,-75362,-26156,-22558,-19572,-5167,-756296,-81241,-98965,-74743,-36385,-22078,-16081,-6317,-627321,17758,-90668,-74586,-32157,-19999,-21962,-4692,-22543,-70108,39432,128975,-53723,27131,-18925,98999,-5325,2313,6702,8297,-11990,916,619,157,-2582,14317,-10229,4228,-1189,-220,480,2079,-1563,2069,3491,-5881,-1334,2355,-1150,1625,difficult
715830,66767,32333,22743,14292,7183,5605,4334,-188580,-65,-29184,-13981,-11453,-4370,-4302,-3462,863438,60999,-3432,2881,-2110,7734,-1046,14598,963827,96059,45886,19257,-673,4026,1276,2261,-86182,220041,28470,-18082,-4427,-1540,7765,-1430,241030,-10624,-14353,-13945,-10688,-3100,-3317,-2456,1052018,100389,-1050009,327212,61064,35060,123982,-230665,25752,49318,-17416,-42823,16862,16376,-37339,4137,9343,1437,-3754,-6261,12104,-3708,-5566,-1560,3256,2322,6489,-11082,18060,-12337,-3691,-1026,easy
975498,255312,50279,36179,13937,18045,9532,5874,998066,-178558,14016,-14896,15938,8230,-3166,247,683263,-177654,-37407,-4852,-3487,-13855,-7137,-3635,42991,-45661,40541,-19632,16602,-5080,-1047,-3592,-345180,-217580,-19418,-25836,-12202,-15249,-6909,-3856,429769,702525,-3120,7104,-4881,7688,-6992,1829,-314803,-640272,-388171,774949,904,131993,-171919,920105,-51423,77948,-59959,16298,10044,-14780,-6204,32940,-19425,20089,-28804,7321,-22085,8775,-10169,22937,-3971,6090,-5862,-83,-3882,43,-264,5685,difficult
885766,89685,14196,19553,19221,13294,7655,8188,-602002,-65628,-11720,-16894,-8446,-8939,-485,-3972,353933,64647,56757,-3196,-12209,-2501,-1691,-5434,-476095,-71443,3493,-7492,-10976,-7421,-180,-2644,-273819,-80039,-12701,-16684,-16765,-10760,-6551,-6636,-625852,-76176,181,-2431,-17095,-6301,-4386,-5478,955935,-830028,202276,-352033,130275,-136090,-8596,3863,68477,-53264,-16194,12882,13698,-4296,-9192,14253,-3763,1233,-5789,-330,6438,-4920,-3339,4459,-1206,1511,-6371,2165,-1462,2790,-3992,1158,easy
954185,589008,50808,133463,23332,23431,7953,7306,467928,-436694,39250,-65429,7456,-9270,6598,-2515,-165007,-376970,-23906,-114753,-289,-7799,1248,16646,-283945,-548963,-36733,-126601,-20983,-18629,-6582,-5529,-725210,-547115,-3922,-117829,-16401,-16566,-6981,-4262,-855730,-551987,-35929,-124246,-21647,-19690,-5629,-3963,-632935,-118938,-441265,-130520,59724,-171993,1848,-4872,-63156,-12827,32811,-32007,-49324,-11848,8772,-6417,-7745,-20694,4582,-5246,1471,-10830,2063,-3124,-5350,-7830,-399,1352,19161,-22175,1267,299,difficult
977969,204799,25690,37995,30085,31453,13418,6299,-696378,-153494,-12362,-16439,-24221,-24237,-10164,-686,299476,-92232,-3020,12236,59995,-10656,8922,17523,-559454,-186825,-17271,-5496,-24637,-25788,-9503,-4213,-138778,-156109,-22034,-30839,-7128,-22940,-11823,-4719,1139612,46769,16746,-7850,24107,-8000,1735,-1133,995854,-858930,420676,1278390,61262,-94593,30716,202878,9342,-14251,-4763,38780,28675,-17732,-25343,22989,84216,-84632,17509,31235,13581,-15132,2848,14940,19086,-18425,-2320,13558,18209,-21736,-506,3586,easy
