delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
9132,29158,13291,7034,15722,13282,-6968,5492,-7637,209,-7732,-1933,2919,10903,-10398,-334,-3560,-5919,757,-10967,-2322,42922,-3587,1371,14261,-1973,-2178,19839,-9309,-4874,9887,-2162,13504,5411,-21870,8994,-2761,8076,144,-543,43256,-23083,4172,-27,-5722,-3986,7290,-6245,easy
35890,14959,6258,15329,8594,43732,-3141,24314,-5148,-9310,-4621,-34516,105835,33873,21859,116558,4985,-29144,-27687,-10510,11257,61358,14767,20602,96583,24266,16803,-1172,-2398,-37497,108976,-133522,124270,9559,-44383,34776,27007,-10602,5546,125868,-55200,-62530,9606,9782,-17165,5372,49746,-58099,difficult
56179,40980,5352,9877,2982,6361,-42539,-29444,6567,130,4460,-314,-52673,-23181,7735,5873,3807,3072,-46514,-12054,6701,20126,48599,6784,-23897,-18737,13650,16152,20280,1409,-10134,6159,22617,6263,11127,-6683,1168,-1034,6949,5743,14253,-3974,-653,44792,-28319,3386,3712,-5375,easy
410563,150345,26683,40345,18409,49687,-273260,-121571,-18992,-29757,-15150,-42156,-362604,-143689,-24809,-36931,-17011,-45079,-379724,-142931,-16792,-22914,3290,-8936,-408600,-149801,-25349,-39363,-15352,-34645,-89344,-17120,-28876,-22118,758,-6870,-5817,8017,-8557,-7174,14017,-16449,-1861,20301,-18642,-2923,36143,-25709,difficult
51499,20615,6056,5597,5832,7832,-25615,42341,-155,-418,4515,9823,59065,5681,-2730,1370,-1468,-4732,-25282,-15184,3706,41553,45432,4147,-4283,33304,-4053,-2151,-410,-469,84680,-84347,20999,-36660,-20865,48488,-2575,6436,-7759,1788,40183,-43704,-5983,46900,-45842,-14555,8879,-4616,easy
19865,24632,13249,4320,5390,12087,9,3810,-2753,25418,-476,21129,-14181,-19280,-787,7341,3250,12136,109172,20854,-8939,-1646,-2924,-6558,-16534,-9762,-11463,-145,-2975,45543,-14190,123353,-125706,-23090,40134,-30616,1966,-8152,-2524,-18077,-8987,1501,3726,-6174,-51,-8993,-18694,52101,difficult
944691,454784,202624,54457,137779,78956,-766051,-389567,-151060,-50687,-99119,-71505,-313216,-130132,-175828,14477,-91837,-52024,-751199,-309698,-180849,-9944,-132973,-73444,100683,-55086,-171585,77492,-110851,-48178,452835,-437983,851882,259435,-179566,254612,-24768,-5021,9264,65164,-24421,87436,7282,-41136,22122,19481,-21420,25266,easy
355376,40346,10863,6356,7713,19596,-349162,-35507,-1255,6707,-5463,-12448,-315685,6166,18826,-3043,6880,10061,-348739,-38898,-2506,5414,-1782,17534,-342342,-20510,-1517,6554,11069,-1155,33477,-33054,6397,41673,-45064,18388,20081,-21332,989,-9750,8457,1140,12343,-8662,12851,22509,7473,-18689,difficult
12459,15660,11044,7411,4897,11366,-321,8598,-9893,-4002,10488,-7607,35803,71723,-8277,-451,-114,-6399,-286,-2133,10996,15558,7649,-3866,-8509,-1203,4932,12641,8929,4836,36124,-36089,-8223,63125,-73856,930,1616,19273,-6064,3551,16009,-2917,-10602,7763,1280,1208,2533,8702,easy
17429,11965,5556,4831,3394,12428,-1306,11844,11161,8032,2041,8725,1175778,154179,64895,2614,2544,10244,-6616,8943,-3201,2432,1778,4070,-7863,-1452,-4626,-2407,4400,2519,1177084,-1182394,-1247,142335,-145236,-10395,53734,-68096,-1425,-5418,-182,-4839,503,-766,2622,1519,-6174,-1551,difficult
68283,20745,5875,10181,3848,35109,20480,16434,-1180,-5250,873,-27168,-39393,3682,19773,-64,3517,-22677,205573,-13944,-4036,-9289,-1495,-27802,-62710,-16480,-3011,9197,10546,-13441,-59873,244966,-268283,-12752,-17626,-2536,20953,-23809,1025,5186,-9225,18486,2644,-5012,12041,4491,-5125,14361,easy
690745,36744,22871,5423,21706,22865,-461879,75948,-4105,7390,-15214,-3174,620850,170715,-19687,3361,-14637,-5187,-676216,-25872,-14913,5694,-13325,2235,-687653,-27077,-19163,-3732,-18952,15245,1082729,-1297066,-11437,94767,-196587,-1205,-15582,4774,-4250,-4029,2333,-9426,577,1312,-5627,-2013,7422,13010,difficult
27055,13072,9150,32900,11052,22100,217980,54624,15186,61969,-2151,27487,-24130,-11140,-3505,-28402,-9948,-16286,-15427,2005,6004,-26014,-5488,16717,-5534,2173,-7644,-27686,-3676,-6807,-242110,8703,9893,-65764,13145,168,-18691,9509,-13648,-90371,2388,-1672,-7797,4460,1812,-43773,33003,-23524,easy
960178,315441,78879,29770,10085,25722,-246665,-296279,-72556,-28693,-5850,-23742,-220318,-278655,-67112,-23974,-4833,-16140,814563,-260258,-68529,-6138,9934,13119,-681207,-187560,-66395,-20894,-7726,-9012,26347,1034881,-1495770,17624,18397,72698,5444,-1417,2134,4719,17836,-14756,1017,14767,-17660,7602,29259,-22131,difficult
589257,218508,55028,36829,16193,32552,-513493,-180330,-44820,-31613,-12564,-21940,-158511,-183151,-50058,-28623,9889,-3726,-452150,-184910,-52016,-35427,-13312,-19541,-182220,-121952,-48706,-20581,646,-6823,354982,-293639,269930,-2821,-1759,62958,-5238,-1958,3310,2990,-6804,14846,22453,-23201,13958,18214,-15815,12718,easy
458514,250564,36580,113977,49158,36395,-414025,-244478,-30183,-113530,-47947,-35935,-289204,-231350,-32401,-110381,-44760,-34373,-312153,-200327,-24649,-106878,-44279,-30931,-436392,-238599,-21259,-108061,-45602,-22489,124821,-22949,-124239,13128,31023,-38272,-2218,7752,3390,3149,3503,-1183,3187,481,-1323,1562,3442,8442,difficult
35302,13272,4224,2593,6367,12103,-20915,-2449,11664,13978,-1346,17677,14464,36034,5476,9809,19289,10991,-22548,39946,9558,6771,15017,16400,61313,14128,-752,4205,-5512,-7404,35379,-37012,83861,38483,3912,-25818,-6188,4082,-10310,-4169,-3038,-2566,20635,-4272,-20529,-6686,5409,-23804,easy
